top,Yield,ROC,EarningsYield,RS(6m),ROA,ΔROA,AccrualRatio,ΔLTDebt-to-Assets,ΔCurrentRatio,ΔOpMgn,ΔAssetTurnover,roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
30,-1,-1,-1,1,-1,-1,0,1,-1,0,1,66.47,10.73,11.3,16.8,0.71,7.88,0.03,1.09,-27.74,-1.75,-39.87,-2.51
30,-1,-1,-1,1,-1,-1,1,1,0,-1,-1,128.78,18.0,17.63,17.49,1.04,40.96,0.16,1.08,-27.43,-1.73,-40.43,-2.55
30,-1,-1,-1,1,-1,-1,1,1,1,0,0,107.15,15.68,15.51,16.27,0.99,31.13,0.12,1.06,-26.99,-1.7,-38.0,-2.39
30,-1,-1,-1,1,-1,1,0,-1,0,-1,-1,76.16,11.99,12.51,16.9,0.77,14.08,0.06,1.09,-28.0,-1.76,-39.93,-2.52
30,-1,-1,-1,1,-1,1,0,0,-1,0,0,153.95,20.49,20.17,19.74,1.05,52.02,0.21,1.12,-30.19,-1.9,-45.81,-2.89
30,-1,-1,-1,1,-1,1,1,1,0,1,1,86.7,13.3,13.66,17.25,0.83,18.28,0.07,1.13,-27.93,-1.76,-40.66,-2.56
30,-1,-1,-1,1,-1,1,1,1,1,-1,-1,96.54,14.47,14.57,16.82,0.9,24.35,0.1,1.1,-27.3,-1.72,-38.95,-2.45
30,-1,-1,-1,1,0,-1,0,-1,0,-1,0,67.14,10.82,11.38,16.27,0.74,10.47,0.04,1.05,-26.06,-1.64,-38.3,-2.41
30,-1,-1,-1,1,0,-1,1,-1,0,0,0,68.66,11.02,11.53,16.41,0.74,10.83,0.04,1.06,-27.26,-1.72,-38.18,-2.41
30,-1,-1,-1,1,0,-1,1,0,-1,-1,0,153.22,20.42,19.93,19.04,1.08,54.0,0.21,1.05,-28.22,-1.78,-44.38,-2.8
30,-1,-1,-1,1,0,0,0,1,-1,1,0,91.95,13.93,14.15,16.93,0.87,22.69,0.09,1.09,-27.08,-1.71,-39.36,-2.48
30,-1,-1,-1,1,0,0,0,1,1,-1,0,141.25,19.26,18.55,16.41,1.17,47.43,0.19,1.04,-27.45,-1.73,-38.0,-2.39
30,-1,-1,-1,1,0,1,-1,0,0,0,0,99.57,14.82,14.97,17.17,0.91,26.32,0.1,1.1,-27.91,-1.76,-40.93,-2.58
30,-1,-1,-1,1,0,1,-1,1,0,0,0,126.36,17.75,17.44,17.14,1.05,38.25,0.15,1.12,-27.56,-1.74,-40.04,-2.52
30,-1,-1,-1,1,0,1,0,-1,1,-1,-1,71.64,11.41,11.91,16.55,0.76,11.92,0.05,1.07,-26.88,-1.69,-38.9,-2.45
30,-1,-1,-1,1,1,-1,1,0,-1,-1,-1,163.69,21.4,20.58,18.09,1.17,60.41,0.24,0.99,-25.6,-1.61,-41.09,-2.59
30,-1,-1,-1,1,1,0,-1,-1,-1,-1,1,47.82,8.13,8.86,15.47,0.61,0.55,0.0,0.99,-25.1,-1.58,-36.7,-2.31
30,-1,-1,-1,1,1,1,-1,-1,-1,0,0,78.45,12.28,12.58,16.01,0.82,17.24,0.07,1.03,-26.23,-1.65,-37.51,-2.36
30,-1,-1,0,-1,-1,-1,-1,-1,1,1,0,104.13,15.34,15.64,18.61,0.87,28.58,0.11,1.13,-29.45,-1.86,-43.57,-2.74
30,-1,-1,0,-1,-1,-1,-1,0,-1,1,-1,187.53,23.52,22.8,20.67,1.13,66.97,0.27,1.08,-29.71,-1.87,-47.61,-3.0
30,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,93.47,14.11,14.5,17.82,0.85,22.69,0.09,1.12,-28.43,-1.79,-42.17,-2.66
30,-1,-1,0,-1,-1,0,1,1,0,-1,0,101.05,14.99,15.31,18.37,0.87,26.64,0.11,1.13,-30.19,-1.9,-43.31,-2.73
30,-1,-1,0,-1,-1,1,0,-1,0,0,0,110.94,16.1,16.17,17.54,0.96,30.82,0.12,1.13,-27.32,-1.72,-41.79,-2.63
30,-1,-1,0,-1,-1,1,0,1,1,-1,-1,171.83,22.14,21.21,18.37,1.19,57.64,0.23,1.11,-28.39,-1.79,-42.59,-2.68
30,-1,-1,0,-1,0,-1,-1,1,1,1,-1,173.5,22.29,21.21,17.74,1.23,59.59,0.24,1.07,-28.28,-1.78,-40.6,-2.56
30,-1,-1,0,-1,0,-1,1,-1,-1,-1,-1,74.67,11.8,12.14,16.09,0.79,16.19,0.06,1.01,-24.7,-1.56,-37.14,-2.34
