w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
-1,-1,-1,0,-1,1,-1,0,-1,0,-1,1.23,25.4,-29.49,-4.8320799999999995,92
-1,-1,-1,0,-1,1,-1,0,0,-1,-1,1.21,25.83,-31.01,-4.96697,93
-1,-1,-1,0,-1,1,0,0,1,0,-1,1.43,31.1,-29.4,-5.2233,94
-1,-1,-1,0,0,0,0,0,0,0,-1,1.29,27.68,-30.37,-5.05284,95
-1,-1,-1,0,1,1,-1,0,0,0,-1,1.16,19.98,-27.7,-4.4077,96
-1,-1,-1,0,0,1,0,0,-1,0,-1,1.16,22.92,-28.3,-4.5658,97
-1,-1,-1,0,-1,0,1,0,0,1,-1,1.04,20.16,-29.26,-4.43752,98
-1,-1,-1,0,-1,1,-1,0,0,0,-1,1.06,19.64,-28.94,-4.40988,99
-1,-1,-1,-1,-1,1,0,0,1,0,-1,1.37,29.91,-30.12,-5.18789,100
-1,-1,-1,1,0,-1,0,0,1,0,-1,1.31,26.09,-27.59,-4.761430000000001,101
-1,1,1,0,-1,1,1,-1,-1,1,-1,0.74,10.21,-24.53,-3.35411,102
-1,-1,1,1,-1,-1,0,0,1,0,-1,1.2,23.33,-27.87,-4.58059,103
-1,-1,-1,1,-1,0,0,0,1,0,-1,1.23,24.34,-28.41,-4.69562,104
-1,-1,-1,0,-1,1,0,0,1,-1,-1,1.29,28.31,-30.35,-5.07305,105
-1,-1,-1,-1,0,1,1,0,1,-1,-1,1.27,26.49,-30.08,-4.96451,106
-1,0,-1,-1,0,1,0,0,1,1,-1,0.95,14.56,-26.94,-3.9380800000000002,107
-1,-1,-1,0,1,1,0,0,1,0,-1,1.15,18.27,-26.17,-4.19709,108
-1,-1,-1,1,-1,1,0,0,1,-1,-1,1.3,26.7,-28.54,-4.86018,109
-1,-1,-1,0,0,1,0,0,1,1,-1,1.03,17.01,-25.97,-4.01459,110
-1,-1,1,0,-1,1,0,0,1,-1,-1,1.29,25.7,-29.06,-4.863020000000001,111
-1,-1,-1,1,-1,1,0,0,1,0,-1,0.85,13.76,-27.41,-3.85332,112
-1,-1,0,0,-1,1,0,0,1,-1,-1,1.35,29.7,-30.86,-5.228619999999999,113
-1,-1,1,0,0,1,0,0,1,-1,-1,0.89,13.53,-25.31,-3.6920699999999997,114
-1,-1,-1,0,0,1,0,0,1,-1,-1,1.36,28.95,-30.19,-5.15073,115
-1,-1,1,0,-1,1,1,0,1,-1,-1,1.26,23.92,-26.42,-4.527839999999999,116
-1,-1,0,0,0,1,0,0,1,-1,-1,1.36,27.34,-28.04,-4.89658,117
-1,0,-1,0,-1,1,0,0,1,-1,-1,1.28,27.24,-30.38,-5.028359999999999,118
0,-1,-1,1,0,0,0,0,0,0,-1,1.15,21.45,-27.26,-4.40867,119
-1,-1,0,-1,-1,1,0,0,1,-1,-1,1.37,29.81,-29.08,-5.088710000000001,120
-1,-1,1,0,-1,0,0,0,1,-1,-1,1.27,26.29,-29.94,-4.94463,121
-1,0,1,-1,1,1,0,1,-1,0,-1,0.87,12.13,-24.22,-3.52279,122
-1,-1,0,0,0,0,0,0,1,-1,-1,1.39,28.65,-29.5,-5.10675,123
-1,0,-1,1,1,0,0,0,0,1,1,0.92,14.5,-25.59,-3.7817800000000004,124
-1,-1,0,-1,0,1,0,0,1,-1,-1,1.39,30.22,-28.72,-5.08994,125
-1,-1,0,-1,-1,1,0,0,1,0,-1,1.47,32.47,-30.2,-5.38485,126
-1,0,-1,-1,0,1,0,0,1,0,-1,1.05,18.36,-28.47,-4.31184,127
-1,-1,1,-1,-1,1,0,0,1,0,-1,1.06,17.85,-29.38,-4.38771,128
-1,-1,0,1,0,1,0,0,1,-1,-1,0.85,12.71,-25.37,-3.62889,129
-1,-1,0,-1,-1,0,0,0,1,0,-1,1.31,28.1,-29.89,-5.043380000000001,130
-1,-1,0,0,-1,1,0,0,0,0,-1,1.23,25.71,-29.6,-4.8530500000000005,131
1,0,1,-1,-1,-1,-1,-1,-1,-1,0,0.51,6.23,-23.53,-2.8928100000000003,132
-1,-1,0,0,-1,1,0,0,1,1,-1,1.06,18.3,-28.66,-4.33722,133
-1,-1,0,0,-1,1,0,0,1,0,-1,1.22,21.95,-28.64,-4.62313,134
-1,-1,0,-1,-1,1,0,0,0,-1,-1,1.23,26.94,-30.49,-4.9779800000000005,135
-1,-1,-1,-1,0,1,0,0,1,-1,-1,1.32,28.53,-30.14,-5.09143,136
0,-1,-1,1,1,-1,0,1,0,0,0,0.91,12.39,-23.1,-3.4688499999999998,137
-1,-1,0,-1,0,0,0,0,1,-1,-1,1.34,28.14,-28.37,-4.934940000000001,138
1,0,0,1,0,-1,-1,1,1,-1,-1,0.73,9.82,-23.86,-3.26882,139
0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0.88,13.29,-24.3,-3.58075,140
-1,-1,1,0,0,0,0,0,1,-1,-1,1.33,25.76,-26.98,-4.713760000000001,141
-1,0,0,-1,-1,-1,0,0,1,-1,-1,1.25,26.03,-28.28,-4.76281,142
-1,0,0,-1,-1,1,0,0,1,-1,-1,1.29,27.52,-28.92,-4.91384,143
0,0,0,-1,1,-1,0,1,0,-1,0,0.86,13.05,-25.73,-3.68391,144
-1,0,-1,-1,0,1,0,0,1,-1,-1,1.28,26.99,-28.03,-4.8034099999999995,145
0,-1,1,-1,1,-1,1,-1,0,0,-1,0.81,10.8,-23.38,-3.33896,146
0,-1,1,1,0,0,1,0,0,-1,0,0.81,11.07,-24.33,-3.43581,147
-1,-1,1,-1,0,1,0,0,1,-1,-1,0.99,15.36,-25.51,-3.87452,148
1,1,0,0,1,1,0,-1,-1,1,1,0.81,10.58,-22.35,-3.2365000000000004,149
-1,-1,0,-1,0,0,0,0,1,0,-1,1.45,31.1,-27.85,-5.1007,150
-1,1,-1,0,-1,-1,-1,0,1,0,1,0.73,11.41,-27.64,-3.67223,151
-1,-1,0,-1,-1,1,1,0,1,0,-1,1.26,24.82,-29.08,-4.80406,152
-1,-1,0,0,0,1,0,0,1,0,-1,1.02,16.11,-27.13,-4.07981,153
1,-1,0,-1,-1,1,-1,0,1,1,-1,1.06,16.06,-24.57,-3.88254,154
-1,-1,1,0,0,-1,0,-1,1,-1,0,0.72,9.95,-24.23,-3.2974099999999997,155
-1,-1,0,-1,0,1,0,0,1,0,-1,1.13,19.43,-28.45,-4.42745,156
-1,0,0,0,0,1,0,0,1,-1,-1,0.96,14.57,-25.16,-3.7846699999999998,157
-1,1,0,-1,-1,1,-1,-1,-1,0,1,0.7,10.14,-26.85,-3.5251,158
-1,-1,0,-1,0,1,0,0,0,-1,-1,1.3,28.24,-29.06,-4.96192,159
-1,0,0,-1,0,0,0,0,1,-1,-1,1.24,25.59,-27.81,-4.69417,160
-1,-1,-1,0,-1,1,0,0,1,-1,0,1.33,28.5,-30.73,-5.15466,161
-1,-1,0,-1,-1,1,0,0,1,0,0,1.06,19.05,-29.04,-4.398429999999999,162
-1,-1,-1,-1,-1,1,0,0,0,-1,1,1.14,23.52,-30.03,-4.725960000000001,163
-1,-1,-1,-1,-1,1,0,0,0,0,-1,1.27,27.22,-30.45,-5.0241,164
0,-1,1,1,1,0,0,1,0,0,-1,0.85,11.92,-22.88,-3.3721599999999996,165
-1,-1,0,0,0,1,-1,0,1,-1,-1,1.11,19.93,-29.22,-4.4957899999999995,166
-1,-1,-1,-1,-1,1,0,0,1,0,0,1.06,19.48,-29.77,-4.480639999999999,167
-1,-1,0,0,-1,1,0,0,1,-1,1,0.89,14.9,-29.6,-4.1347000000000005,168
-1,-1,1,-1,0,0,0,0,1,-1,-1,1.43,29.95,-28.84,-5.13153,169
-1,-1,1,0,0,0,0,0,-1,-1,-1,1.28,23.99,-25.03,-4.42241,170
-1,-1,1,-1,0,-1,1,0,1,-1,-1,1.28,25.26,-26.78,-4.62786,171
1,0,-1,1,-1,0,0,-1,0,1,0,0.66,8.9,-25.09,-3.2797799999999997,172
-1,-1,-1,0,0,-1,0,0,1,-1,-1,1.24,25.17,-28.95,-4.78435,173
-1,0,-1,0,-1,1,0,0,-1,-1,-1,1.15,22.78,-27.75,-4.5003,174
-1,-1,-1,0,0,1,0,0,-1,-1,-1,1.3,26.02,-27.14,-4.70758,175
-1,-1,0,0,0,1,0,0,0,-1,-1,1.33,28.11,-29.76,-5.05177,176
-1,0,-1,-1,1,0,1,1,-1,-1,1,0.82,11.8,-26.37,-3.65904,177
0,0,1,0,1,-1,-1,-1,1,-1,0,0.64,8.07,-23.79,-3.1111299999999997,178
-1,-1,0,-1,-1,-1,1,1,1,-1,-1,0.92,15.52,-27.49,-3.99228,179
-1,-1,1,-1,-1,-1,0,0,1,-1,-1,1.2,25.14,-28.06,-4.66142,180
-1,-1,0,0,0,1,0,0,-1,-1,-1,1.24,23.78,-26.94,-4.5507800000000005,181
-1,0,0,0,0,0,0,0,1,-1,-1,1.31,25.72,-26.82,-4.67764,182
-1,1,-1,-1,-1,0,1,0,1,0,-1,1.27,25.41,-27.62,-4.7003900000000005,183
0,1,-1,0,0,0,-1,0,0,-1,1,0.34,3.45,-23.83,-2.65311,184
-1,0,-1,0,0,1,0,0,1,-1,-1,1.26,25.08,-28.8,-4.7874,185
-1,-1,-1,-1,0,1,0,0,1,0,-1,1.5,32.1,-28.75,-5.2684999999999995,186
-1,-1,-1,0,0,1,0,0,1,0,-1,1.17,20.36,-29.04,-4.55428,187
1,0,1,-1,0,-1,0,1,1,1,0,0.88,11.35,-22.22,-3.32149,188
-1,-1,-1,-1,0,0,0,0,1,-1,0,1.27,26.93,-30.18,-4.98911,189
-1,-1,-1,-1,0,1,1,0,1,0,-1,1.3,25.65,-28.08,-4.78111,190
0,1,1,1,-1,1,1,-1,1,-1,-1,0.7,9.49,-25.14,-3.34503,191
-1,-1,-1,-1,0,1,0,0,1,-1,1,0.87,14.32,-28.93,-4.03276,192
-1,-1,0,1,0,-1,1,1,-1,1,1,0.92,13.76,-24.53,-3.65836,193
-1,0,0,1,-1,0,1,1,1,-1,0,0.9,13.29,-25.02,-3.66699,194
-1,-1,1,1,-1,1,1,1,0,-1,1,0.79,11.95,-26.43,-3.6398099999999998,195
1,1,-1,-1,-1,0,0,1,1,-1,0,0.83,12.15,-24.3,-3.49085,196
-1,1,0,1,1,-1,0,1,0,0,0,1.0,14.05,-22.67,-3.5773900000000003,197
-1,-1,-1,0,-1,-1,0,0,1,-1,0,1.15,23.44,-29.77,-4.709239999999999,198
-1,-1,-1,0,0,1,0,0,1,-1,0,1.11,19.92,-29.62,-4.53224,199
-1,-1,0,-1,-1,0,0,0,1,-1,0,1.2,25.09,-30.16,-4.852869999999999,200
