w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
1,-1,1,0,0,-1,0,0,-1,0,-1,0.98,15.63,-23.06,-3.64857,1
1,1,-1,1,0,0,-1,-1,0,0,-1,0.68,9.02,-23.53,-3.1604600000000005,2
1,-1,-1,0,0,1,0,1,1,0,-1,0.94,13.31,-24.54,-3.6635299999999997,3
1,0,0,-1,-1,-1,1,0,1,-1,0,1.07,19.33,-25.48,-4.09071,4
-1,1,0,-1,0,-1,1,0,0,1,1,0.91,12.79,-23.97,-3.56289,5
-1,0,0,1,1,1,0,0,1,0,-1,0.78,11.24,-25.31,-3.5019199999999997,6
-1,-1,-1,0,0,-1,-1,-1,1,1,0,0.95,16.28,-29.17,-4.2034400000000005,7
1,0,1,1,0,-1,0,1,0,0,-1,0.71,9.19,-23.12,-3.15869,8
0,0,1,1,1,-1,-1,-1,1,-1,0,0.69,9.15,-25.27,-3.33509,9
-1,1,0,0,1,-1,0,0,-1,1,0,0.98,13.45,-22.45,-3.5161499999999997,10
1,1,0,-1,-1,0,-1,0,1,-1,-1,0.68,9.83,-25.13,-3.33601,11
0,1,-1,0,-1,0,-1,-1,0,0,1,0.46,5.7,-25.13,-2.97146,12
-1,-1,-1,-1,0,0,-1,-1,-1,1,1,0.88,13.93,-26.41,-3.79727,13
-1,1,-1,1,0,-1,0,0,1,0,0,0.69,9.71,-24.79,-3.31053,14
0,0,-1,0,-1,1,0,1,0,1,1,0.88,13.85,-27.63,-3.90671,15
-1,0,1,1,-1,-1,1,1,0,-1,1,0.82,11.69,-24.64,-3.49603,16
0,0,1,1,1,-1,0,1,-1,-1,1,0.64,8.13,-22.65,-3.0083499999999996,17
0,-1,1,1,0,1,-1,-1,1,1,1,0.74,10.8,-25.29,-3.44468,18
0,1,1,1,1,1,0,0,1,1,-1,0.87,12.36,-24.87,-3.59064,19
-1,0,0,1,-1,-1,0,-1,0,1,1,0.63,9.08,-26.28,-3.36556,20
-1,0,0,0,-1,0,1,0,1,0,0,1.11,20.84,-28.93,-4.50096,21
0,1,1,-1,0,0,1,-1,1,0,-1,0.58,6.78,-22.4,-2.8781,22
1,1,1,-1,0,0,1,-1,-1,-1,-1,0.58,6.95,-23.34,-2.97053,23
0,0,0,1,1,-1,-1,1,0,-1,-1,0.87,11.67,-23.29,-3.42113,24
-1,1,-1,1,0,-1,0,-1,0,-1,-1,0.66,9.16,-25.84,-3.3578799999999998,25
0,-1,-1,0,-1,1,-1,0,0,1,-1,1.03,16.58,-26.36,-4.03542,26
-1,1,1,1,-1,-1,-1,0,-1,1,-1,0.85,12.65,-25.78,-3.66451,27
1,0,1,-1,0,1,-1,-1,1,1,-1,0.66,8.18,-23.33,-3.0926599999999995,28
0,0,1,-1,-1,-1,0,1,-1,1,0,0.91,13.87,-26.39,-3.8233300000000003,29
-1,-1,-1,1,0,0,0,0,1,-1,0,1.03,16.6,-27.82,-4.17044,30
-1,-1,0,-1,-1,-1,1,-1,-1,1,1,0.83,13.13,-27.69,-3.8370300000000004,31
0,0,0,-1,1,1,-1,-1,1,0,0,0.68,8.59,-23.13,-3.1086099999999997,32
1,0,1,1,1,0,1,1,0,-1,1,0.83,11.0,-23.73,-3.39816,33
1,0,1,0,-1,-1,-1,0,-1,0,0,0.52,6.38,-23.53,-2.9080600000000003,34
0,0,1,0,-1,0,1,0,1,-1,0,0.76,10.34,-24.36,-3.36302,35
1,0,0,0,0,1,-1,-1,0,1,0,0.77,10.58,-24.09,-3.35658,36
-1,1,1,-1,0,0,0,0,-1,-1,-1,1.15,20.56,-25.1,-4.1788,37
1,1,0,1,1,0,0,-1,-1,0,0,0.76,9.77,-22.58,-3.1793099999999996,38
-1,1,1,-1,1,1,1,-1,1,0,1,0.77,10.68,-23.36,-3.29292,39
1,1,1,1,1,0,-1,0,1,-1,0,0.81,10.95,-23.61,-3.3653700000000004,40
-1,0,1,1,-1,1,0,0,1,0,0,0.74,12.11,-28.8,-3.81345,41
1,-1,-1,0,-1,0,0,1,1,1,1,0.92,13.01,-24.28,-3.6091100000000003,42
1,-1,0,0,-1,0,0,1,1,0,-1,0.91,13.52,-25.99,-3.7742799999999996,43
-1,1,1,-1,1,-1,-1,-1,-1,1,1,0.89,12.02,-23.46,-3.4690200000000004,44
0,1,1,1,-1,0,-1,0,-1,0,0,0.56,7.29,-25.06,-3.12067,45
-1,-1,0,-1,0,-1,-1,0,0,-1,-1,1.15,23.81,-28.8,-4.63295,46
-1,1,0,0,1,-1,1,0,-1,0,1,0.76,9.96,-22.76,-3.2025200000000003,47
0,1,0,1,0,1,0,-1,-1,-1,-1,0.82,11.05,-23.7,-3.38715,48
-1,1,0,1,1,0,1,1,0,-1,-1,0.97,13.5,-23.17,-3.57414,49
-1,-1,-1,1,1,-1,-1,-1,0,0,1,0.68,9.44,-25.65,-3.3702,50
-1,1,1,-1,1,0,0,0,1,0,1,0.74,10.18,-24.3,-3.3319,51
1,0,1,0,0,0,-1,1,0,0,1,0.55,6.46,-22.82,-2.87554,52
-1,0,1,1,0,1,1,-1,-1,0,0,0.84,12.2,-24.38,-3.50996,53
-1,0,0,0,0,0,0,1,-1,1,0,0.91,13.68,-24.81,-3.6713199999999997,54
1,0,1,0,-1,1,0,0,-1,0,0,0.73,9.53,-21.73,-3.06271,55
0,1,-1,-1,-1,-1,0,1,0,-1,0,0.81,12.84,-25.86,-3.6385199999999998,56
-1,1,-1,0,1,0,1,-1,1,0,1,0.8,11.28,-23.63,-3.36876,57
-1,-1,-1,1,1,1,-1,1,0,0,-1,0.97,15.09,-26.26,-3.91407,58
1,-1,0,1,-1,0,-1,0,0,0,0,0.62,8.18,-24.18,-3.1308599999999998,59
0,0,1,0,0,0,0,0,1,0,-1,0.77,10.37,-24.96,-3.4292700000000003,60
0,-1,1,-1,-1,0,0,1,-1,1,-1,0.96,15.66,-25.73,-3.87526,61
1,-1,-1,1,1,1,0,1,-1,1,0,0.72,9.41,-21.38,-3.01631,62
1,1,1,0,0,1,-1,1,1,-1,1,0.64,7.83,-22.93,-3.02361,63
0,1,1,-1,0,1,-1,0,0,0,0,0.66,8.41,-23.22,-3.0905899999999997,64
0,-1,1,-1,-1,-1,-1,0,0,1,-1,0.78,12.98,-28.74,-3.87838,65
1,1,0,1,1,-1,0,1,1,-1,1,0.76,10.04,-23.64,-3.2862799999999996,66
1,1,1,1,-1,-1,0,1,-1,0,1,0.56,6.94,-23.68,-2.98146,67
0,1,1,0,0,0,0,0,0,0,-1,0.68,8.54,-23.82,-3.1703400000000004,68
-1,0,0,-1,1,1,-1,1,0,1,0,1.09,16.37,-24.23,-3.8921099999999997,69
1,1,1,1,-1,-1,1,0,1,-1,0,0.74,9.92,-22.91,-3.1949199999999998,70
0,0,0,0,0,0,0,1,-1,0,0,0.8,10.84,-23.43,-3.3349599999999997,71
1,0,1,1,0,-1,0,-1,0,1,-1,0.84,11.25,-22.94,-3.34423,72
-1,-1,1,0,-1,1,1,-1,0,1,0,0.78,11.79,-26.28,-3.61041,73
-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,0.84,12.27,-23.85,-3.46365,74
-1,-1,0,0,1,-1,1,0,-1,0,1,1.17,20.61,-24.9,-4.18215,75
1,0,0,1,0,-1,1,-1,0,-1,-1,0.58,7.09,-23.23,-2.96531,76
-1,1,-1,-1,-1,0,1,0,0,1,0,1.05,19.81,-28.47,-4.36259,77
-1,-1,-1,0,0,1,0,0,0,0,1,0.98,16.52,-29.16,-4.24092,78
0,-1,1,0,0,0,0,1,-1,0,-1,0.78,10.89,-24.87,-3.44919,79
1,-1,1,0,1,1,1,1,0,0,-1,0.74,9.37,-22.0,-3.0919499999999998,80
-1,0,0,0,0,1,0,1,1,1,0,0.89,13.66,-25.78,-3.73986,81
1,1,1,-1,0,-1,-1,0,1,1,-1,0.71,9.09,-23.08,-3.15151,82
1,0,1,1,0,0,1,0,-1,1,0,0.96,12.97,-21.66,-3.40667,83
1,0,1,-1,1,1,-1,0,1,0,-1,0.7,8.71,-21.87,-3.01689,84
0,0,1,1,0,-1,0,0,-1,1,1,0.79,11.12,-25.12,-3.49024,85
1,1,0,1,0,-1,0,0,1,-1,-1,0.76,9.93,-23.63,-3.28151,86
-1,-1,1,-1,0,0,0,1,0,1,0,1.08,17.33,-26.03,-4.08131,87
0,1,-1,-1,1,-1,1,0,1,1,0,1.01,12.91,-20.66,-3.36257,88
1,0,1,-1,0,-1,0,-1,1,1,1,0.68,8.4,-21.85,-2.9842000000000004,89
-1,0,0,0,0,0,1,0,0,-1,-1,0.98,16.83,-25.85,-3.94725,90
-1,1,-1,-1,-1,1,1,1,1,0,-1,1.01,16.71,-28.36,-4.20397,91
1,1,0,1,1,0,1,1,0,1,-1,0.96,12.59,-21.55,-3.3832500000000003,92
1,-1,0,1,0,0,-1,-1,1,-1,-1,0.6,7.74,-24.17,-3.0945400000000003,93
