w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
-1,-1,-1,0,0,-1,-1,0,1,-1,-1,1.25,25.16,-28.76,-4.7765200000000005,66
-1,-1,1,0,-1,0,-1,0,1,-1,-1,1.03,17.95,-28.27,-4.2590900000000005,67
-1,-1,0,-1,1,0,-1,0,1,-1,-1,1.06,18.15,-25.72,-4.06149,68
0,-1,-1,0,-1,-1,0,0,1,-1,-1,1.14,22.92,-28.32,-4.54764,69
-1,-1,0,-1,0,-1,-1,0,0,-1,-1,1.15,23.81,-28.8,-4.63295,70
0,-1,-1,-1,-1,-1,-1,1,1,1,-1,0.93,15.76,-27.45,-4.007,71
0,-1,1,-1,0,-1,0,-1,1,1,-1,0.57,7.09,-24.04,-3.0298299999999996,72
-1,-1,0,-1,0,-1,1,0,1,0,-1,1.25,25.3,-28.56,-4.763019999999999,73
-1,-1,-1,0,0,-1,1,0,0,1,-1,1.15,22.11,-27.68,-4.470409999999999,74
-1,-1,-1,0,-1,0,0,0,1,1,-1,1.13,20.96,-29.59,-4.5858799999999995,75
-1,-1,1,-1,-1,0,1,1,1,-1,1,0.84,12.64,-27.17,-3.7820400000000003,76
0,-1,-1,-1,1,-1,1,0,1,-1,-1,1.26,25.09,-26.98,-4.62031,77
-1,-1,0,-1,-1,-1,1,0,1,1,-1,1.3,27.4,-30.03,-5.0217600000000004,78
1,-1,0,-1,0,-1,1,0,1,1,-1,0.71,8.89,-23.01,-3.13807,79
0,-1,-1,-1,-1,1,1,0,1,1,-1,0.94,14.88,-26.89,-3.9346799999999997,80
-1,-1,0,1,0,-1,1,0,1,-1,-1,1.13,20.03,-24.86,-4.118169999999999,81
0,-1,0,-1,-1,-1,1,0,1,0,-1,1.24,24.88,-27.76,-4.664720000000001,82
-1,-1,-1,-1,1,-1,-1,0,1,0,-1,1.33,27.16,-27.99,-4.8556799999999996,83
-1,-1,0,-1,-1,-1,0,0,1,1,-1,1.27,26.63,-29.65,-4.92985,84
-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,1.16,23.57,-28.88,-4.641909999999999,85
-1,-1,0,-1,1,-1,1,0,1,1,-1,1.23,21.38,-24.1,-4.1955,86
-1,-1,-1,-1,1,-1,1,1,-1,0,-1,1.08,18.57,-26.39,-4.157830000000001,87
0,-1,-1,-1,1,-1,1,0,1,0,-1,1.2,23.13,-26.32,-4.4309899999999995,88
-1,-1,0,-1,-1,0,-1,0,1,-1,-1,1.19,25.17,-29.84,-4.816229999999999,89
-1,-1,-1,0,1,1,-1,0,1,1,-1,0.99,15.15,-25.68,-3.88281,90
-1,-1,0,0,-1,-1,1,0,1,-1,-1,1.28,26.15,-28.88,-4.8522099999999995,91
-1,-1,0,0,-1,0,1,0,1,1,-1,1.2,23.39,-28.01,-4.59557,92
