n_calls,n_initial_points,acq_func,base_estimator,mean_sharpe,std_sharpe,max_sharpe,mean_ann,mean_evals,mean_complex,mean_plateau,score
200,50,EI,GP,1.4166666666666667,0.04618802153517013,1.47,31.05,385.3333333333333,6.0,,1.0935726558990817
200,50,LCB,GP,1.4133333333333333,0.07505553499465131,1.5,30.526666666666667,809.6666666666666,6.333333333333333,,1.0591388991693411
200,100,EI,GP,1.3333333333333333,0.047258156262526156,1.37,28.863333333333333,1151.0,7.0,,0.95970425520207
