w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
-1,0,-1,0,0,0,0,0,0,-1,-1,1.26,25.87,-28.13,-4.75341,66
-1,-1,-1,-1,1,1,0,0,0,0,-1,1.4,28.55,-27.28,-4.90901,67
-1,0,-1,-1,0,0,0,0,0,1,-1,1.2,24.34,-29.07,-4.72634,68
-1,-1,-1,0,1,0,1,0,0,0,-1,1.26,21.95,-23.41,-4.18197,69
-1,1,-1,-1,0,-1,0,0,0,1,-1,1.26,25.4,-27.62,-4.69004,70
-1,0,-1,-1,0,-1,0,0,0,1,-1,1.31,27.24,-28.87,-4.91944,71
-1,-1,-1,-1,0,-1,0,0,0,1,-1,1.25,26.5,-30.53,-4.98626,72
-1,0,0,-1,-1,0,0,0,0,0,-1,1.14,24.11,-30.54,-4.79353,73
-1,-1,-1,-1,0,-1,0,0,0,0,-1,1.18,25.16,-29.95,-4.816,74
-1,0,-1,-1,-1,-1,1,0,0,0,-1,1.16,23.99,-29.52,-4.71549,75
-1,-1,1,-1,-1,-1,0,0,0,1,-1,1.26,26.68,-29.36,-4.89492,76
-1,-1,-1,1,0,-1,0,0,0,-1,-1,1.25,24.39,-27.42,-4.62629,77
-1,-1,0,-1,0,-1,0,0,1,1,-1,1.44,29.9,-27.5,-5.0165,78
-1,-1,0,-1,0,1,-1,0,-1,0,-1,1.25,25.26,-27.56,-4.66962,79
-1,-1,0,-1,1,0,0,0,0,0,-1,1.4,28.22,-26.48,-4.82386,80
-1,-1,0,0,-1,-1,1,0,0,1,-1,1.2,24.02,-28.81,-4.6912199999999995,81
-1,-1,-1,-1,0,-1,0,0,1,-1,1,1.06,20.93,-28.92,-4.45319,82
-1,-1,-1,-1,1,-1,0,0,1,-1,-1,1.29,26.67,-28.18,-4.81601,83
-1,1,0,-1,1,-1,0,0,-1,0,-1,1.21,21.17,-24.97,-4.24819,84
-1,-1,0,-1,-1,-1,0,0,0,-1,-1,1.23,25.8,-29.11,-4.81112,85
-1,-1,-1,0,0,-1,0,0,0,1,-1,1.24,25.99,-29.96,-4.90597,86
-1,1,1,0,-1,1,0,0,-1,1,-1,0.67,9.27,-25.71,-3.35977,87
-1,-1,1,-1,0,-1,0,0,0,1,-1,1.27,24.36,-26.81,-4.58912,88
0,-1,-1,-1,-1,-1,1,0,1,0,-1,1.16,23.3,-28.67,-4.6131400000000005,89
-1,-1,-1,-1,-1,-1,0,0,-1,1,-1,1.14,23.42,-29.62,-4.68474,90
-1,-1,0,-1,0,1,1,-1,1,0,-1,0.7,9.43,-25.23,-3.35121,91
-1,-1,0,-1,0,0,1,0,0,1,-1,1.24,23.09,-26.54,-4.4898299999999995,92
-1,-1,1,-1,0,1,0,0,-1,0,-1,1.33,25.62,-25.41,-4.56442,93
-1,-1,0,-1,-1,1,0,0,1,0,-1,1.47,32.47,-30.2,-5.38485,94
-1,-1,-1,-1,0,1,0,0,1,0,-1,1.5,32.1,-28.75,-5.2684999999999995,95
-1,-1,0,-1,1,-1,0,0,1,0,-1,1.42,28.88,-27.75,-4.9838000000000005,96
-1,-1,-1,-1,0,1,0,0,1,0,0,1.02,17.56,-28.12,-4.22164,97
0,1,0,0,-1,1,1,-1,1,0,-1,0.72,9.35,-23.43,-3.20281,98
-1,-1,-1,-1,-1,1,0,1,1,0,-1,1.21,22.63,-29.92,-4.75469,99
-1,-1,0,-1,0,1,0,0,1,0,-1,1.13,19.43,-28.45,-4.42745,100
-1,-1,-1,-1,0,-1,1,0,1,1,-1,1.22,24.82,-29.36,-4.789820000000001,101
-1,-1,-1,-1,-1,1,0,0,-1,0,-1,1.18,24.15,-29.83,-4.76961,102
-1,-1,1,-1,-1,0,-1,0,1,0,-1,1.07,19.7,-29.16,-4.44222,103
-1,-1,0,-1,1,1,-1,0,0,0,-1,1.08,18.0,-25.76,-4.07992,104
-1,0,-1,0,-1,0,0,0,0,-1,-1,1.22,25.59,-29.27,-4.80849,105
-1,-1,-1,-1,-1,1,0,0,0,-1,-1,1.22,26.8,-31.1,-5.0192000000000005,106
-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,1.17,24.53,-29.48,-4.74071,107
-1,-1,-1,-1,-1,-1,0,0,0,0,-1,1.16,24.6,-29.64,-4.74788,108
0,-1,-1,-1,-1,0,0,0,1,0,-1,1.17,23.79,-29.26,-4.694570000000001,109
1,0,0,-1,-1,-1,0,0,0,-1,-1,1.0,18.8,-26.98,-4.14016,110
-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1.16,24.07,-29.12,-4.68149,111
-1,1,-1,-1,-1,1,0,0,1,-1,-1,1.26,26.42,-28.35,-4.7929,112
-1,0,-1,1,-1,1,0,0,1,0,-1,0.75,11.94,-28.28,-3.76966,113
-1,1,-1,-1,1,1,0,-1,-1,0,-1,0.93,12.99,-23.4,-3.53745,114
-1,1,0,-1,0,1,0,0,0,0,-1,0.86,12.15,-24.44,-3.5337300000000003,115
-1,-1,-1,1,-1,-1,0,0,1,-1,-1,1.24,25.36,-28.44,-4.74408,116
-1,-1,-1,-1,-1,1,0,0,1,1,-1,1.12,20.09,-27.97,-4.39639,117
-1,0,-1,-1,0,1,0,0,-1,0,-1,1.18,23.07,-27.27,-4.49629,118
0,1,-1,-1,-1,0,0,0,0,0,-1,1.07,21.82,-28.96,-4.49802,119
0,-1,-1,-1,1,-1,0,0,-1,-1,-1,1.14,22.22,-26.85,-4.3879,120
-1,-1,-1,-1,-1,0,0,0,0,1,-1,1.2,25.7,-30.77,-4.930339999999999,121
-1,-1,-1,-1,-1,0,0,0,0,0,-1,1.23,27.45,-32.19,-5.152229999999999,122
0,-1,0,-1,-1,0,0,0,-1,0,-1,1.1,21.24,-27.95,-4.4148,123
-1,1,-1,-1,-1,-1,0,0,0,1,0,1.11,22.74,-29.11,-4.58402,124
-1,-1,-1,-1,-1,0,0,0,1,0,0,1.29,28.08,-30.75,-5.1018,125
-1,-1,0,-1,-1,-1,0,0,-1,0,1,1.04,19.81,-28.1,-4.31855,126
-1,-1,-1,-1,-1,-1,0,0,1,0,-1,1.19,24.79,-30.23,-4.83881,127
-1,0,-1,-1,-1,-1,0,0,0,0,-1,1.11,23.27,-31.24,-4.7985299999999995,128
-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1.16,24.17,-30.48,-4.81011,129
-1,-1,-1,-1,-1,1,0,0,1,0,1,0.94,16.25,-29.83,-4.2531099999999995,130
-1,-1,-1,-1,-1,0,0,0,0,1,0,1.22,25.32,-30.06,-4.87172,131
-1,-1,-1,0,-1,-1,0,0,0,1,1,1.13,22.58,-30.62,-4.73734,132
-1,-1,1,-1,-1,1,-1,0,0,0,-1,1.07,19.79,-29.01,-4.43157,133
-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1.09,21.75,-30.29,-4.637930000000001,134
-1,0,1,-1,-1,1,1,-1,-1,-1,-1,0.71,9.57,-23.83,-3.23731,135
0,1,1,0,1,0,1,0,1,1,1,0.87,12.43,-24.44,-3.5535300000000003,136
-1,1,-1,-1,-1,0,0,0,0,-1,-1,1.06,21.92,-30.19,-4.60468,137
1,-1,-1,-1,-1,0,0,0,0,0,-1,1.08,20.55,-27.47,-4.32649,138
-1,-1,-1,-1,-1,-1,0,1,1,0,-1,0.98,17.2,-28.68,-4.22056,139
-1,-1,-1,1,-1,-1,0,0,-1,1,-1,1.14,22.27,-29.35,-4.61965,140
-1,0,-1,-1,-1,0,0,0,0,-1,-1,1.14,24.17,-31.04,-4.84163,141
-1,-1,0,0,-1,-1,0,0,0,-1,-1,1.17,24.14,-29.23,-4.70406,142
