w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
1,-1,1,0,0,-1,0,0,-1,0,-1,0.98,15.63,-23.06,-3.64857,1
1,1,-1,1,0,0,-1,-1,0,0,-1,0.68,9.02,-23.53,-3.1604600000000005,2
1,-1,-1,0,0,1,0,1,1,0,-1,0.94,13.31,-24.54,-3.6635299999999997,3
1,0,0,-1,-1,-1,1,0,1,-1,0,1.07,19.33,-25.48,-4.09071,4
-1,1,0,-1,0,-1,1,0,0,1,1,0.91,12.79,-23.97,-3.56289,5
-1,0,0,1,1,1,0,0,1,0,-1,0.78,11.24,-25.31,-3.5019199999999997,6
-1,-1,-1,0,0,-1,-1,-1,1,1,0,0.95,16.28,-29.17,-4.2034400000000005,7
1,0,1,1,0,-1,0,1,0,0,-1,0.71,9.19,-23.12,-3.15869,8
0,0,1,1,1,-1,-1,-1,1,-1,0,0.69,9.15,-25.27,-3.33509,9
-1,1,0,0,1,-1,0,0,-1,1,0,0.98,13.45,-22.45,-3.5161499999999997,10
1,1,0,-1,-1,0,-1,0,1,-1,-1,0.68,9.83,-25.13,-3.33601,11
0,1,-1,0,-1,0,-1,-1,0,0,1,0.46,5.7,-25.13,-2.97146,12
-1,-1,-1,-1,0,0,-1,-1,-1,1,1,0.88,13.93,-26.41,-3.79727,13
-1,1,-1,1,0,-1,0,0,1,0,0,0.69,9.71,-24.79,-3.31053,14
0,0,-1,0,-1,1,0,1,0,1,1,0.88,13.85,-27.63,-3.90671,15
-1,0,1,1,-1,-1,1,1,0,-1,1,0.82,11.69,-24.64,-3.49603,16
0,0,1,1,1,-1,0,1,-1,-1,1,0.64,8.13,-22.65,-3.0083499999999996,17
0,-1,1,1,0,1,-1,-1,1,1,1,0.74,10.8,-25.29,-3.44468,18
0,1,1,1,1,1,0,0,1,1,-1,0.87,12.36,-24.87,-3.59064,19
-1,0,0,1,-1,-1,0,-1,0,1,1,0.63,9.08,-26.28,-3.36556,20
-1,0,0,0,-1,0,1,0,1,0,0,1.11,20.84,-28.93,-4.50096,21
0,1,1,-1,0,0,1,-1,1,0,-1,0.58,6.78,-22.4,-2.8781,22
1,1,1,-1,0,0,1,-1,-1,-1,-1,0.58,6.95,-23.34,-2.97053,23
0,0,0,1,1,-1,-1,1,0,-1,-1,0.87,11.67,-23.29,-3.42113,24
-1,1,-1,1,0,-1,0,-1,0,-1,-1,0.66,9.16,-25.84,-3.3578799999999998,25
0,-1,-1,0,-1,1,-1,0,0,1,-1,1.03,16.58,-26.36,-4.03542,26
-1,1,1,1,-1,-1,-1,0,-1,1,-1,0.85,12.65,-25.78,-3.66451,27
1,0,1,-1,0,1,-1,-1,1,1,-1,0.66,8.18,-23.33,-3.0926599999999995,28
0,0,1,-1,-1,-1,0,1,-1,1,0,0.91,13.87,-26.39,-3.8233300000000003,29
-1,-1,-1,1,0,0,0,0,1,-1,0,1.03,16.6,-27.82,-4.17044,30
-1,-1,0,-1,-1,-1,1,-1,-1,1,1,0.83,13.13,-27.69,-3.8370300000000004,31
0,0,0,-1,1,1,-1,-1,1,0,0,0.68,8.59,-23.13,-3.1086099999999997,32
1,0,1,1,1,0,1,1,0,-1,1,0.83,11.0,-23.73,-3.39816,33
1,0,1,0,-1,-1,-1,0,-1,0,0,0.52,6.38,-23.53,-2.9080600000000003,34
0,0,1,0,-1,0,1,0,1,-1,0,0.76,10.34,-24.36,-3.36302,35
1,0,0,0,0,1,-1,-1,0,1,0,0.77,10.58,-24.09,-3.35658,36
-1,1,1,-1,0,0,0,0,-1,-1,-1,1.15,20.56,-25.1,-4.1788,37
1,1,0,1,1,0,0,-1,-1,0,0,0.76,9.77,-22.58,-3.1793099999999996,38
-1,1,1,-1,1,1,1,-1,1,0,1,0.77,10.68,-23.36,-3.29292,39
1,1,1,1,1,0,-1,0,1,-1,0,0.81,10.95,-23.61,-3.3653700000000004,40
-1,0,1,1,-1,1,0,0,1,0,0,0.74,12.11,-28.8,-3.81345,41
1,-1,-1,0,-1,0,0,1,1,1,1,0.92,13.01,-24.28,-3.6091100000000003,42
1,-1,0,0,-1,0,0,1,1,0,-1,0.91,13.52,-25.99,-3.7742799999999996,43
-1,1,1,-1,1,-1,-1,-1,-1,1,1,0.89,12.02,-23.46,-3.4690200000000004,44
0,1,1,1,-1,0,-1,0,-1,0,0,0.56,7.29,-25.06,-3.12067,45
-1,-1,0,-1,0,-1,-1,0,0,-1,-1,1.15,23.81,-28.8,-4.63295,46
-1,1,0,0,1,-1,1,0,-1,0,1,0.76,9.96,-22.76,-3.2025200000000003,47
0,1,0,1,0,1,0,-1,-1,-1,-1,0.82,11.05,-23.7,-3.38715,48
-1,1,0,1,1,0,1,1,0,-1,-1,0.97,13.5,-23.17,-3.57414,49
-1,-1,-1,1,1,-1,-1,-1,0,0,1,0.68,9.44,-25.65,-3.3702,50
-1,-1,-1,-1,1,1,-1,0,1,-1,0,1.08,19.83,-29.66,-4.50277,51
-1,-1,-1,0,0,1,-1,0,-1,-1,1,0.82,12.78,-27.62,-3.8083400000000003,52
-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,1.18,24.38,-28.49,-4.65438,53
-1,-1,1,0,-1,-1,-1,0,1,-1,-1,1.17,23.74,-28.4,-4.6137,54
-1,-1,-1,1,-1,1,0,1,-1,-1,-1,0.94,16.27,-28.54,-4.13513,55
-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,0.72,11.57,-28.15,-3.71475,56
-1,-1,0,-1,0,-1,-1,0,-1,-1,0,1.04,20.58,-28.92,-4.42094,57
-1,0,0,-1,1,1,1,-1,1,1,0,0.77,10.17,-23.95,-3.32935,58
-1,-1,0,0,0,1,0,0,-1,-1,-1,1.24,23.78,-26.94,-4.5507800000000005,59
-1,-1,0,-1,1,0,1,-1,-1,-1,-1,0.8,10.72,-22.93,-3.2847600000000003,60
0,-1,-1,0,1,-1,-1,0,0,-1,-1,1.24,23.91,-26.64,-4.52773,61
-1,0,1,1,-1,0,1,0,1,0,1,0.81,12.55,-26.04,-3.6449300000000004,62
-1,-1,0,-1,1,0,-1,0,0,-1,-1,1.23,25.64,-28.18,-4.71996,63
-1,-1,-1,0,1,1,-1,1,1,-1,-1,1.27,21.92,-27.21,-4.540520000000001,64
-1,-1,0,-1,1,0,-1,0,-1,-1,-1,1.22,24.76,-27.12,-4.58164,65
1,0,-1,0,-1,0,1,0,1,0,0,0.73,9.64,-24.63,-3.33336,66
-1,-1,0,0,1,1,0,0,0,-1,0,0.96,13.73,-23.34,-3.58783,67
-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,0.73,12.48,-27.45,-3.6921999999999997,68
-1,-1,0,0,-1,1,-1,1,0,-1,-1,1.22,23.25,-29.65,-4.76155,69
-1,0,-1,0,0,1,1,1,0,0,0,0.84,12.95,-25.43,-3.63281,70
-1,-1,0,-1,-1,0,1,1,0,-1,-1,1.0,17.96,-28.32,-4.23404,71
-1,-1,0,1,-1,1,1,1,1,0,-1,0.97,15.89,-27.39,-4.04603,72
-1,0,0,0,-1,1,1,0,1,-1,0,1.13,20.96,-27.87,-4.42764,73
-1,-1,0,0,-1,0,-1,0,1,1,-1,1.17,22.21,-29.19,-4.63283,74
-1,-1,0,-1,-1,1,1,0,1,0,0,1.12,21.25,-28.69,-4.50323,75
0,-1,0,-1,1,1,0,1,0,-1,-1,1.03,16.65,-26.16,-4.01947,76
-1,-1,-1,0,0,-1,-1,1,0,0,-1,1.02,17.42,-27.62,-4.17074,77
-1,-1,-1,0,-1,0,1,0,-1,0,0,1.17,23.78,-30.17,-4.77794,78
-1,-1,0,0,-1,0,1,0,0,0,-1,1.2,24.22,-29.36,-4.74882,79
-1,-1,0,0,-1,1,1,1,-1,0,-1,1.0,16.29,-26.41,-3.99987,80
-1,-1,1,1,-1,0,-1,0,0,0,-1,0.91,15.33,-27.94,-4.01703,81
-1,-1,0,-1,-1,0,-1,1,-1,1,-1,1.08,19.51,-28.03,-4.34161,82
-1,-1,0,-1,1,-1,-1,0,0,0,-1,1.22,25.08,-28.35,-4.7059999999999995,83
-1,-1,1,0,-1,0,0,0,0,-1,-1,1.34,28.56,-28.82,-4.99104,84
-1,-1,0,0,-1,-1,0,0,0,0,0,1.18,24.29,-29.45,-4.7395499999999995,85
-1,-1,1,0,-1,0,0,0,-1,1,-1,1.21,23.77,-28.49,-4.663029999999999,86
-1,1,0,0,-1,1,-1,0,0,0,-1,0.71,11.16,-29.56,-3.8201199999999997,87
-1,-1,0,0,-1,0,-1,0,0,1,-1,1.04,19.28,-29.88,-4.46376,88
-1,-1,0,-1,-1,0,-1,1,1,-1,-1,1.04,18.35,-28.0,-4.25825,89
-1,-1,-1,-1,-1,0,0,0,1,-1,-1,1.21,25.19,-29.98,-4.84981,90
-1,-1,1,-1,-1,1,1,0,0,0,0,1.14,21.53,-28.02,-4.47139,91
