Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,67.669998,67.669998,67.669998,67.669998,67.669998,0
2014-12-02,68.029999,68.029999,67.989998,67.989998,67.989998,80
2014-12-03,68.400002,68.550003,68.400002,68.550003,68.550003,16
2014-12-04,67.879997,67.879997,67.879997,67.879997,67.879997,0
2014-12-05,68.970001,68.970001,68.970001,68.970001,68.970001,0
2014-12-08,68.739998,68.739998,68.610001,68.610001,68.610001,115
2014-12-09,67.080002,67.080002,67.080002,67.080002,67.080002,0
2014-12-10,66.919998,66.919998,66.919998,66.919998,66.919998,0
2014-12-11,66.809998,66.809998,66.809998,66.809998,66.809998,0
2014-12-12,65.290001,65.290001,65.290001,65.290001,65.290001,0
2014-12-15,65.769997,65.830002,64.089996,64.089996,64.089996,353
2014-12-16,64.000000,65.089996,63.660000,65.089996,65.089996,3432
2014-12-17,64.709999,65.169998,64.709999,65.169998,65.169998,3150
2014-12-18,66.379997,67.089996,66.379997,67.089996,67.089996,150
2014-12-19,67.839996,67.839996,67.440002,67.440002,67.440002,68
2014-12-22,67.650002,67.730003,67.650002,67.730003,67.730003,366
2014-12-23,68.139999,68.230003,68.139999,68.230003,68.230003,379
2014-12-29,68.160004,68.160004,68.160004,68.160004,68.160004,0
2014-12-30,67.769997,67.790001,67.769997,67.790001,67.790001,54
2015-01-02,67.790001,68.110001,67.790001,67.900002,67.900002,1415
2015-01-05,66.480003,66.480003,66.480003,66.480003,66.480003,80
2015-01-06,65.970001,65.970001,65.970001,65.970001,65.970001,0
2015-01-07,66.500000,66.500000,66.300003,66.300003,66.300003,223
2015-01-08,67.849998,67.849998,67.849998,67.849998,67.849998,0
2015-01-09,67.309998,67.309998,67.309998,67.309998,67.309998,0
2015-01-12,67.940002,67.940002,67.550003,67.550003,67.550003,508
2015-01-13,68.389999,68.510002,68.389999,68.510002,68.510002,80
2015-01-14,68.150002,68.150002,67.629997,67.629997,67.629997,30
2015-01-15,69.029999,69.029999,69.029999,69.029999,69.029999,0
2015-01-16,69.099998,69.610001,69.099998,69.610001,69.610001,7
2015-01-19,69.889999,69.930000,69.889999,69.930000,69.930000,170
2015-01-20,70.360001,70.410004,70.360001,70.410004,70.410004,35
2015-01-21,70.279999,70.889999,70.279999,70.889999,70.889999,314
2015-01-22,72.050003,72.050003,72.050003,72.050003,72.050003,0
2015-01-23,73.139999,73.139999,73.059998,73.059998,73.059998,55
2015-01-26,73.320000,73.580002,73.300003,73.580002,73.580002,485
2015-01-27,74.029999,74.029999,72.830002,72.830002,72.830002,589
2015-01-28,72.559998,72.889999,72.559998,72.889999,72.889999,165
2015-01-29,72.779999,72.779999,72.779999,72.779999,72.779999,133
2015-01-30,72.639999,72.639999,72.639999,72.639999,72.639999,0
2015-02-02,72.709999,72.709999,72.709999,72.709999,72.709999,0
2015-02-03,73.110001,73.519997,73.110001,73.519997,73.519997,3375
2015-02-04,73.690002,73.849998,73.690002,73.849998,73.849998,2288
2015-02-05,73.900002,74.220001,73.900002,74.220001,74.220001,405
2015-02-06,74.120003,74.330002,74.120003,74.330002,74.330002,4938
2015-02-09,73.800003,73.800003,73.709999,73.709999,73.709999,130
2015-02-10,74.440002,74.440002,74.400002,74.400002,74.400002,3328
2015-02-11,74.220001,74.220001,74.169998,74.169998,74.169998,138
2015-02-12,75.160004,75.160004,75.160004,75.160004,75.160004,0
2015-02-13,75.639999,75.639999,75.480003,75.480003,75.480003,345
2015-02-16,75.550003,75.550003,75.419998,75.419998,75.419998,266
2015-02-17,75.349998,75.349998,75.349998,75.349998,75.349998,0
2015-02-18,76.180000,76.349998,75.900002,76.349998,76.349998,5026
2015-02-19,76.250000,76.470001,76.250000,76.470001,76.470001,80
2015-02-20,76.500000,76.690002,76.389999,76.690002,76.690002,598
2015-02-23,77.209999,77.209999,77.209999,77.209999,77.209999,0
2015-02-24,77.669998,77.669998,77.669998,77.669998,77.669998,0
2015-02-25,77.510002,77.510002,77.510002,77.510002,77.510002,0
2015-02-26,77.809998,78.239998,77.809998,78.239998,78.239998,50
2015-02-27,77.870003,78.480003,77.870003,78.480003,78.480003,125
2015-03-02,78.400002,78.639999,78.300003,78.300003,78.300003,165
2015-03-03,78.440002,78.440002,77.610001,77.610001,77.610001,280
2015-03-04,77.699997,77.699997,77.699997,77.699997,77.699997,0
2015-03-05,78.610001,78.779999,78.610001,78.779999,78.779999,612
2015-03-06,79.050003,79.050003,79.050003,79.050003,79.050003,0
2015-03-09,78.669998,78.919998,78.669998,78.809998,78.809998,976
2015-03-10,78.190002,78.190002,78.190002,78.190002,78.190002,0
2015-03-11,79.300003,79.410004,78.919998,79.260002,79.260002,411
2015-03-12,79.430000,79.430000,79.320000,79.320000,79.320000,68
2015-03-13,79.650002,79.650002,79.510002,79.550003,79.550003,1701
2015-03-16,80.019997,80.019997,79.839996,80.010002,80.010002,251
2015-03-17,79.389999,79.389999,79.389999,79.389999,79.389999,0
2015-03-18,79.040001,79.559998,79.040001,79.559998,79.559998,152
2015-03-19,80.430000,80.430000,79.980003,80.010002,80.010002,84
2015-03-20,80.250000,80.440002,80.250000,80.440002,80.440002,291
2015-03-23,80.250000,80.250000,80.160004,80.160004,80.160004,4
2015-03-24,80.290001,80.470001,80.290001,80.470001,80.470001,566
2015-03-25,80.050003,80.050003,79.709999,79.709999,79.709999,866
2015-03-26,78.910004,78.919998,78.910004,78.919998,78.919998,147
2015-03-27,79.360001,79.360001,78.959999,78.959999,78.959999,6
2015-03-30,79.800003,79.830002,79.800003,79.830002,79.830002,11
2015-03-31,80.220001,80.250000,79.500000,79.500000,79.500000,5519
2015-04-01,79.910004,79.910004,79.730003,79.730003,79.730003,108
2015-04-02,79.790001,80.000000,79.750000,79.750000,79.750000,350
2015-04-07,80.739998,81.300003,80.739998,81.070000,81.070000,15655
2015-04-08,81.339996,81.339996,81.339996,81.339996,81.339996,0
2015-04-09,82.269997,82.269997,82.269997,82.269997,82.269997,0
2015-04-10,82.580002,82.959999,82.580002,82.959999,82.959999,61
2015-04-13,83.059998,83.250000,83.059998,83.059998,83.059998,683
2015-04-14,83.400002,83.400002,82.919998,82.919998,82.919998,25
2015-04-15,83.349998,83.349998,83.349998,83.349998,83.349998,0
2015-04-16,82.690002,82.750000,82.690002,82.750000,82.750000,31
2015-04-17,82.580002,82.580002,81.330002,81.330002,81.330002,60
2015-04-20,81.739998,81.809998,81.739998,81.809998,81.809998,218
2015-04-21,82.440002,82.440002,82.440002,82.440002,82.440002,0
2015-04-22,82.169998,82.169998,82.169998,82.169998,82.169998,0
2015-04-23,81.930000,81.930000,81.930000,81.930000,81.930000,0
2015-04-24,82.349998,82.349998,82.349998,82.349998,82.349998,0
2015-04-27,83.050003,83.050003,83.050003,83.050003,83.050003,0
2015-04-28,81.940002,81.940002,81.940002,81.940002,81.940002,0
2015-04-29,80.320000,80.320000,80.320000,80.320000,80.320000,0
2015-04-30,80.160004,80.160004,80.089996,80.089996,80.089996,65
2015-05-04,80.720001,80.720001,80.489998,80.489998,80.489998,3119
2015-05-05,81.019997,81.019997,79.309998,79.309998,79.309998,25
2015-05-06,79.230003,79.230003,78.779999,78.779999,78.779999,2914
2015-05-07,77.669998,79.139999,77.339996,79.139999,79.139999,9487
2015-05-08,81.320000,81.320000,81.320000,81.320000,81.320000,0
2015-05-11,81.779999,81.779999,81.779999,81.779999,81.779999,0
2015-05-12,80.739998,80.860001,80.739998,80.860001,80.860001,972
2015-05-13,80.860001,80.860001,80.860001,80.860001,80.860001,0
2015-05-14,81.029999,81.650002,81.029999,81.650002,81.650002,150
2015-05-15,81.500000,81.500000,81.500000,81.500000,81.500000,0
2015-05-18,81.309998,81.739998,81.309998,81.739998,81.739998,600
2015-05-19,82.830002,82.830002,82.830002,82.830002,82.830002,0
2015-05-20,83.139999,83.139999,83.000000,83.099998,83.099998,1275
2015-05-21,83.300003,83.459999,83.300003,83.459999,83.459999,144
2015-05-22,83.320000,83.320000,83.320000,83.320000,83.320000,0
2015-05-26,82.370003,82.769997,82.370003,82.769997,82.769997,100
2015-05-27,83.010002,83.430000,83.010002,83.430000,83.430000,1060
2015-05-28,83.150002,83.150002,83.150002,83.150002,83.150002,0
2015-05-29,82.309998,82.309998,81.830002,81.830002,81.830002,60
2015-06-01,82.239998,82.239998,81.900002,81.900002,81.900002,55
2015-06-02,81.900002,81.900002,81.459999,81.459999,81.459999,6
2015-06-03,81.449997,81.449997,81.449997,81.449997,81.449997,0
2015-06-04,80.660004,80.660004,80.660004,80.660004,80.660004,0
2015-06-05,79.800003,79.800003,79.800003,79.800003,79.800003,0
2015-06-08,79.129997,79.129997,79.129997,79.129997,79.129997,0
2015-06-09,78.980003,79.040001,78.980003,79.040001,79.040001,133
2015-06-10,80.239998,80.239998,80.239998,80.239998,80.239998,0
2015-06-11,80.820000,80.820000,80.820000,80.820000,80.820000,0
2015-06-12,80.099998,80.099998,80.099998,80.099998,80.099998,0
2015-06-15,79.199997,79.199997,78.720001,78.720001,78.720001,250
2015-06-16,79.139999,79.139999,79.139999,79.139999,79.139999,0
2015-06-17,78.769997,78.769997,78.769997,78.769997,78.769997,0
2015-06-18,78.769997,78.769997,78.769997,78.769997,78.769997,0
2015-06-19,79.199997,79.199997,79.199997,79.199997,79.199997,0
2015-06-22,80.629997,80.669998,80.349998,80.669998,80.669998,560
2015-06-23,81.919998,82.050003,81.839996,81.839996,81.839996,3004
2015-06-24,81.349998,81.349998,81.349998,81.349998,81.349998,0
2015-06-25,81.309998,81.309998,81.309998,81.309998,81.309998,0
2015-06-26,80.800003,81.370003,80.800003,81.370003,81.370003,300
2015-06-29,79.739998,79.940002,79.220001,79.220001,79.220001,284
2015-06-30,78.349998,79.330002,78.349998,78.639999,78.639999,709
2015-07-01,79.769997,79.769997,79.769997,79.769997,79.769997,0
2015-07-02,79.360001,79.360001,79.360001,79.360001,79.360001,0
2015-07-03,78.989998,78.989998,78.989998,78.989998,78.989998,0
2015-07-06,78.050003,78.050003,78.050003,78.050003,78.050003,0
2015-07-07,76.750000,76.750000,76.750000,76.750000,76.750000,0
2015-07-08,76.559998,76.559998,76.489998,76.489998,76.489998,240
2015-07-09,77.199997,78.050003,77.199997,78.050003,78.050003,457
2015-07-10,79.570000,79.570000,79.570000,79.570000,79.570000,0
2015-07-13,81.010002,81.080002,81.010002,81.080002,81.080002,3119
2015-07-14,81.000000,81.389999,81.000000,81.389999,81.389999,3119
2015-07-15,81.580002,81.690002,81.580002,81.690002,81.690002,110
2015-07-16,82.860001,82.860001,82.860001,82.860001,82.860001,0
2015-07-17,83.040001,83.040001,83.040001,83.040001,83.040001,0
2015-07-20,83.250000,83.370003,83.250000,83.370003,83.370003,560
2015-07-21,83.029999,83.029999,82.550003,82.550003,82.550003,1765
2015-07-22,82.250000,82.250000,82.250000,82.250000,82.250000,0
2015-07-23,82.410004,82.410004,81.650002,81.650002,81.650002,2430
2015-07-24,81.139999,81.139999,81.139999,81.139999,81.139999,0
2015-07-27,80.750000,80.750000,79.339996,79.339996,79.339996,40
2015-07-28,80.040001,80.150002,80.040001,80.150002,80.150002,15
2015-07-29,80.790001,80.790001,80.790001,80.790001,80.790001,0
2015-07-30,81.129997,81.129997,81.129997,81.129997,81.129997,0
2015-07-31,81.269997,81.320000,81.269997,81.320000,81.320000,10
2015-08-03,81.620003,81.760002,81.620003,81.760002,81.760002,34
2015-08-04,81.879997,81.879997,81.879997,81.879997,81.879997,0
2015-08-05,82.400002,82.500000,82.400002,82.500000,82.500000,5
2015-08-06,81.949997,81.949997,81.949997,81.949997,81.949997,0
2015-08-07,81.139999,81.139999,81.139999,81.139999,81.139999,0
2015-08-10,81.650002,81.650002,81.650002,81.650002,81.650002,0
2015-08-11,81.410004,81.410004,80.660004,80.660004,80.660004,5
2015-08-12,78.910004,78.910004,78.589996,78.589996,78.589996,129
2015-08-13,79.480003,79.730003,79.480003,79.529999,79.529999,141
2015-08-14,80.099998,80.099998,79.620003,79.620003,79.620003,4
2015-08-17,79.989998,79.989998,79.919998,79.919998,79.919998,2620
2015-08-18,80.129997,80.129997,80.110001,80.110001,80.110001,131
2015-08-19,78.730003,78.730003,78.730003,78.730003,78.730003,0
2015-08-20,78.309998,78.309998,77.129997,77.129997,77.129997,190
2015-08-21,76.410004,76.410004,74.709999,74.709999,74.709999,60
2015-08-24,72.110001,73.160004,71.059998,71.059998,71.059998,14723
2015-08-25,72.870003,74.150002,72.870003,73.910004,73.910004,5746
2015-08-26,73.650002,73.760002,72.849998,72.849998,72.849998,371
2015-08-27,75.190002,75.190002,75.190002,75.190002,75.190002,0
2015-08-28,74.839996,75.500000,74.839996,75.500000,75.500000,280
2015-08-31,74.739998,75.309998,74.739998,75.220001,75.220001,2222
