---
name: "SOM Round 2 — 500 samples"
description: Factor-based strategy search Round 2
variables:
    - top
    - Yield
    - ROC
    - EarningsYield
    - RS(6m)
    - ROA
    - ΔROA
    - AccrualRatio
    - ΔLTDebt-to-Assets
    - ΔCurrentRatio
    - ΔOpMgn
    - ΔAssetTurnover
    - annualized
    - mean
    - std
    - sharpe
    - alpha
    - beta
    - var
    - tvar
inputs: 20
outputs: 0
---
30,500,500,500,500,500,500,500,500,500,500,500,194,204,310,276,209,478,589,678
30,500,500,500,500,500,500,500,500,500,500,500,319,347,384,502,363,478,494,610
30,500,500,500,500,500,500,500,500,500,500,500,349,381,407,539,389,563,489,575
30,500,500,500,500,500,500,500,500,500,500,500,254,276,358,393,277,563,477,642
30,500,500,500,500,500,500,500,500,500,500,500,208,219,288,315,222,521,541,696
30,500,500,500,500,500,500,500,500,500,500,500,303,329,362,486,349,423,564,627
30,500,500,500,500,500,500,500,500,500,500,500,315,343,383,497,356,507,498,608
30,500,500,500,500,500,500,500,500,500,500,500,357,389,410,550,396,576,439,571
30,500,500,500,500,500,500,500,500,500,500,500,253,271,320,408,277,521,490,670
30,500,500,500,500,500,500,500,500,500,500,500,285,309,353,460,311,576,483,640
30,500,500,500,500,500,500,500,500,500,500,500,216,229,303,329,232,521,601,689
30,500,500,500,500,500,500,500,500,500,500,500,361,392,397,565,415,450,557,612
30,500,500,500,500,500,500,500,500,500,500,500,375,409,428,565,424,521,485,567
30,500,500,500,500,500,500,500,500,500,500,500,241,258,325,378,263,521,500,669
30,500,500,500,500,500,500,500,500,500,500,500,186,193,278,267,200,464,593,704
30,500,500,500,500,500,500,500,500,500,500,500,402,434,408,616,442,590,448,578
30,500,500,500,500,500,500,500,500,500,500,500,238,255,331,368,257,549,490,663
30,500,500,500,500,500,500,500,500,500,500,500,320,349,386,502,364,478,489,601
30,500,500,500,500,500,500,500,500,500,500,500,373,405,405,576,417,549,444,588
30,500,500,500,500,500,500,500,500,500,500,500,408,441,419,616,450,576,476,565
30,500,500,500,500,500,500,500,500,500,500,500,379,410,393,591,420,563,468,594
30,500,500,500,500,500,500,500,500,500,500,500,354,382,359,576,397,507,514,645
30,500,500,500,500,500,500,500,500,500,500,500,265,286,340,423,293,521,506,652
30,500,500,500,500,500,500,500,500,500,500,500,357,386,380,565,407,464,530,625
30,500,500,500,500,500,500,500,500,500,500,500,300,322,307,513,326,563,539,683
30,500,500,500,500,500,500,500,500,500,500,500,358,388,392,560,398,549,468,603
30,500,500,500,500,500,500,500,500,500,500,500,361,392,384,570,404,535,493,608
30,500,500,500,500,500,500,500,500,500,500,500,366,395,378,581,409,521,542,623
30,500,500,500,500,500,500,500,500,500,500,500,355,384,372,570,397,535,529,621
30,500,500,500,500,500,500,500,500,500,500,500,356,386,377,570,397,535,526,616
30,500,500,500,500,500,500,500,500,500,500,500,359,388,365,581,401,521,482,640
30,500,500,500,500,500,500,500,500,500,500,500,248,265,301,408,268,549,495,687
30,500,500,500,500,500,500,500,500,500,500,500,372,407,435,560,426,478,464,562
30,500,500,500,500,500,500,500,500,500,500,500,367,398,393,576,422,436,521,608
30,500,500,500,500,500,500,500,500,500,500,500,263,280,282,449,287,507,507,703
30,500,500,500,500,500,500,500,500,500,500,500,314,343,388,492,359,478,490,602
30,500,500,500,500,500,500,500,500,500,500,500,261,280,310,429,279,590,553,667
30,500,500,500,500,500,500,500,500,500,500,500,216,228,280,339,241,423,637,715
30,500,500,500,500,500,500,500,500,500,500,500,281,307,377,439,325,436,538,631
30,500,500,500,500,500,500,500,500,500,500,500,294,321,390,455,332,507,507,606
30,500,500,500,500,500,500,500,500,500,500,500,273,294,320,449,293,590,449,653
30,500,500,500,500,500,500,500,500,500,500,500,199,210,299,293,208,563,503,684
