roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
50.98,8.59,9.56,17.48,0.58,0.41,0.0,1.06,-26.85,-1.69,-41.0,-2.58
146.0,19.73,19.43,19.28,1.04,50.91,0.2,1.06,-28.92,-1.82,-44.55,-2.81
170.74,22.04,21.41,19.83,1.11,58.32,0.23,1.12,-29.03,-1.83,-46.26,-2.91
96.4,14.45,14.91,18.66,0.83,24.88,0.1,1.12,-29.29,-1.84,-42.94,-2.7
61.68,10.09,10.8,16.9,0.67,5.5,0.02,1.09,-27.9,-1.76,-40.01,-2.52
133.63,18.5,18.33,18.76,1.01,47.08,0.19,1.02,-27.39,-1.73,-43.7,-2.75
142.98,19.43,19.19,19.26,1.03,48.91,0.19,1.08,-28.83,-1.82,-44.64,-2.81
176.8,22.58,21.86,19.89,1.13,60.2,0.24,1.13,-30.11,-1.9,-46.46,-2.93
95.28,14.32,14.63,17.73,0.86,24.88,0.1,1.09,-29.01,-1.83,-41.43,-2.61
120.22,17.1,17.12,18.56,0.96,35.67,0.14,1.13,-29.16,-1.84,-43.03,-2.71
67.31,10.84,11.54,17.3,0.7,9.24,0.04,1.09,-26.58,-1.67,-40.43,-2.55
180.71,22.93,22.07,19.6,1.16,65.57,0.26,1.04,-27.56,-1.74,-44.44,-2.8
192.36,23.93,23.01,20.31,1.16,67.97,0.27,1.09,-29.12,-1.83,-46.65,-2.94
85.99,13.21,13.7,17.86,0.8,20.33,0.08,1.09,-28.8,-1.81,-41.52,-2.62
45.36,7.77,8.68,16.61,0.56,-3.35,-0.01,1.05,-26.75,-1.69,-39.57,-2.49
215.18,25.81,24.38,19.84,1.26,72.74,0.29,1.14,-29.92,-1.88,-46.13,-2.91
83.99,12.97,13.52,18.01,0.78,18.25,0.07,1.11,-29.01,-1.83,-41.84,-2.64
146.98,19.82,19.52,19.33,1.04,51.38,0.2,1.06,-29.02,-1.83,-44.99,-2.83
190.76,23.8,22.79,19.78,1.18,65.96,0.26,1.11,-30.01,-1.89,-45.66,-2.88
220.55,26.23,24.76,20.09,1.26,74.87,0.3,1.13,-29.31,-1.85,-46.75,-2.94
195.69,24.21,23.07,19.51,1.21,66.78,0.26,1.12,-29.49,-1.86,-45.33,-2.86
174.51,22.38,21.46,18.7,1.18,60.52,0.24,1.08,-28.48,-1.79,-42.76,-2.69
