roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
144.48,19.58,19.3,19.22,1.04,48.63,0.19,1.1,-28.92,-1.82,-44.08,-2.78
173.89,22.32,21.55,19.39,1.14,59.13,0.23,1.12,-28.53,-1.8,-44.75,-2.82
157.51,20.83,20.14,18.32,1.13,50.32,0.2,1.15,-29.29,-1.85,-43.12,-2.72
112.68,16.29,16.36,18.09,0.94,30.67,0.12,1.16,-29.34,-1.85,-42.44,-2.67
89.81,13.68,14.06,17.6,0.83,19.7,0.08,1.14,-27.51,-1.73,-42.74,-2.69
165.85,21.6,20.77,18.39,1.16,53.13,0.21,1.16,-29.67,-1.87,-43.21,-2.72
185.22,23.32,22.13,18.28,1.24,65.76,0.26,1.04,-27.4,-1.73,-42.06,-2.65
199.44,24.53,23.16,18.68,1.27,72.37,0.29,1.01,-25.9,-1.63,-42.66,-2.69
244.15,28.04,25.9,18.85,1.41,85.87,0.34,1.02,-27.39,-1.73,-43.59,-2.75
140.71,19.21,18.74,17.81,1.09,51.79,0.21,0.97,-25.99,-1.64,-40.71,-2.56
104.39,15.37,15.05,14.87,1.05,32.95,0.13,0.97,-23.72,-1.49,-34.46,-2.17
170.2,21.99,20.65,15.83,1.34,59.19,0.23,1.02,-24.46,-1.54,-36.1,-2.27
150.7,20.18,19.84,19.44,1.05,51.63,0.2,1.09,-29.24,-1.84,-44.6,-2.81
174.45,22.37,21.59,19.4,1.14,59.56,0.24,1.11,-28.95,-1.82,-44.71,-2.82
217.73,26.01,24.61,20.18,1.25,75.38,0.3,1.1,-30.05,-1.89,-46.5,-2.93
171.22,22.09,21.4,19.58,1.12,58.96,0.23,1.11,-29.36,-1.85,-45.51,-2.87
172.65,22.21,21.37,18.9,1.16,60.47,0.24,1.07,-27.63,-1.74,-42.95,-2.71
154.22,20.52,19.96,18.68,1.1,55.48,0.22,1.02,-26.34,-1.66,-42.91,-2.7
179.03,22.78,21.76,18.59,1.2,64.04,0.25,1.04,-27.46,-1.73,-42.19,-2.66
146.81,19.8,19.45,19.0,1.06,50.46,0.2,1.07,-28.18,-1.78,-44.01,-2.77
104.29,15.36,15.58,18.12,0.89,25.78,0.1,1.18,-29.13,-1.84,-43.14,-2.72
187.79,23.54,22.58,19.72,1.18,64.35,0.26,1.12,-29.11,-1.83,-45.71,-2.88
182.5,23.08,22.12,19.22,1.18,64.12,0.25,1.07,-28.48,-1.79,-43.75,-2.76
230.53,27.01,25.35,20.07,1.29,79.23,0.31,1.1,-29.03,-1.83,-45.91,-2.89
88.75,13.55,13.84,16.99,0.85,20.59,0.08,1.1,-26.99,-1.7,-39.55,-2.49
202.5,24.78,23.44,19.13,1.26,71.47,0.28,1.06,-28.32,-1.78,-42.99,-2.71
97.12,14.54,14.73,17.23,0.89,24.29,0.1,1.12,-27.85,-1.75,-40.88,-2.58
91.09,13.83,14.28,18.13,0.82,19.17,0.08,1.18,-29.12,-1.83,-42.74,-2.69
75.04,11.85,12.41,17.24,0.75,11.81,0.05,1.13,-27.58,-1.74,-40.36,-2.54
133.72,18.51,18.45,19.34,0.98,44.12,0.18,1.1,-28.58,-1.8,-44.52,-2.8
157.74,20.85,20.44,19.75,1.06,52.85,0.21,1.13,-29.9,-1.88,-45.72,-2.88
151.99,20.3,19.83,18.92,1.08,52.64,0.21,1.07,-28.52,-1.8,-43.09,-2.71
112.64,16.29,16.14,16.83,0.99,33.21,0.13,1.08,-27.22,-1.71,-39.61,-2.5
176.57,22.56,21.49,18.04,1.22,64.92,0.26,0.99,-26.13,-1.65,-41.02,-2.58
116.19,16.67,16.4,16.49,1.03,38.16,0.15,1.0,-26.49,-1.67,-38.19,-2.41
59.67,9.81,10.39,15.89,0.69,6.25,0.02,1.03,-25.59,-1.61,-37.35,-2.35
128.15,17.94,17.44,16.4,1.1,42.46,0.17,1.03,-26.25,-1.65,-37.92,-2.39
100.45,14.92,14.87,16.16,0.96,29.66,0.12,1.02,-25.84,-1.63,-37.08,-2.34
66.56,10.74,11.19,15.71,0.75,11.77,0.05,1.0,-26.15,-1.65,-36.47,-2.3
96.13,14.42,14.92,18.88,0.82,24.22,0.1,1.14,-29.95,-1.89,-44.27,-2.79
176.91,22.59,21.86,19.85,1.13,64.3,0.26,1.04,-27.26,-1.72,-45.23,-2.85
188.3,23.59,22.81,20.68,1.13,67.19,0.27,1.08,-29.7,-1.87,-47.58,-3.0
181.87,23.03,22.32,20.46,1.12,67.75,0.27,1.02,-28.62,-1.8,-46.37,-2.92
102.38,15.14,15.33,17.76,0.9,28.46,0.11,1.09,-29.65,-1.87,-41.57,-2.62
164.85,21.51,21.02,20.01,1.08,59.12,0.23,1.06,-28.67,-1.81,-45.61,-2.87
215.01,25.8,24.49,20.44,1.23,76.64,0.3,1.07,-29.11,-1.83,-46.68,-2.94
211.83,25.54,24.44,21.16,1.18,74.47,0.3,1.11,-30.16,-1.9,-48.91,-3.08
222.4,26.38,25.04,20.92,1.23,76.85,0.3,1.12,-30.64,-1.93,-48.7,-3.07
185.37,23.33,22.31,19.16,1.2,66.44,0.26,1.05,-27.65,-1.74,-44.22,-2.79
175.29,22.45,21.57,18.96,1.17,60.84,0.24,1.08,-29.69,-1.87,-44.24,-2.79
211.06,25.48,24.22,20.3,1.22,74.69,0.3,1.08,-28.9,-1.82,-46.66,-2.94
102.5,15.16,15.6,19.13,0.85,26.99,0.11,1.15,-30.96,-1.95,-45.15,-2.84
179.19,22.79,22.02,19.87,1.14,62.49,0.25,1.1,-27.98,-1.76,-46.34,-2.92
194.49,24.11,23.29,21.0,1.14,69.95,0.28,1.08,-29.92,-1.88,-47.88,-3.02
205.54,25.03,24.07,21.26,1.16,71.89,0.29,1.12,-31.05,-1.96,-49.55,-3.12
237.74,27.56,25.88,20.58,1.29,80.71,0.32,1.13,-29.17,-1.84,-48.12,-3.03
141.81,19.31,18.86,18.06,1.08,46.05,0.18,1.1,-28.84,-1.82,-42.1,-2.65
211.84,25.54,24.3,20.49,1.22,73.9,0.29,1.1,-29.17,-1.84,-47.19,-2.97
100.45,14.92,15.24,18.31,0.87,28.27,0.11,1.09,-28.07,-1.77,-41.87,-2.64
142.67,19.4,19.15,19.16,1.03,49.66,0.2,1.06,-29.42,-1.85,-44.56,-2.81
170.0,21.98,21.25,19.28,1.13,59.28,0.24,1.08,-28.1,-1.77,-44.46,-2.8
179.32,22.81,21.82,18.81,1.19,62.07,0.25,1.09,-28.4,-1.79,-43.2,-2.72
98.07,14.65,14.76,16.85,0.91,24.82,0.1,1.11,-28.04,-1.77,-39.58,-2.49
116.18,16.67,16.6,17.64,0.97,34.15,0.14,1.11,-28.65,-1.8,-41.46,-2.61
259.41,29.16,27.05,20.38,1.36,89.0,0.35,1.08,-29.32,-1.85,-46.42,-2.92
166.35,21.64,20.79,18.27,1.17,54.43,0.22,1.13,-29.05,-1.83,-43.16,-2.72
92.7,14.02,14.4,17.9,0.84,23.42,0.09,1.1,-29.55,-1.86,-42.05,-2.65
307.97,32.47,29.54,20.47,1.47,98.9,0.39,1.14,-30.2,-1.9,-47.47,-2.99
145.64,19.69,19.0,17.13,1.14,46.64,0.19,1.11,-28.04,-1.77,-40.38,-2.54
183.65,23.18,22.15,18.96,1.2,63.44,0.25,1.09,-28.25,-1.78,-43.64,-2.75
202.95,24.82,23.45,19.02,1.26,71.3,0.28,1.07,-29.08,-1.83,-44.02,-2.77
190.92,23.81,22.93,20.42,1.15,70.17,0.28,1.03,-28.8,-1.81,-46.45,-2.93
193.05,23.99,22.99,20.0,1.18,69.73,0.28,1.05,-28.5,-1.8,-45.61,-2.87
190.85,23.8,22.62,18.85,1.23,68.62,0.27,1.03,-27.75,-1.75,-43.65,-2.75
87.88,13.44,13.77,17.15,0.84,22.38,0.09,1.05,-26.88,-1.69,-40.38,-2.54
65.62,10.62,11.06,15.6,0.75,11.32,0.04,0.99,-24.76,-1.56,-36.3,-2.29
148.42,19.96,19.38,18.04,1.11,49.53,0.2,1.09,-28.94,-1.82,-41.99,-2.64
193.44,24.02,22.79,18.81,1.24,70.32,0.28,1.02,-26.49,-1.67,-43.69,-2.75
141.28,19.26,18.62,16.97,1.13,49.67,0.2,1.0,-27.3,-1.72,-39.17,-2.47
220.66,26.24,24.41,18.24,1.37,81.19,0.32,0.96,-24.81,-1.56,-41.8,-2.63
96.33,14.44,14.28,14.96,0.99,30.84,0.12,0.93,-24.34,-1.53,-34.87,-2.2
163.5,21.38,20.37,17.07,1.23,62.71,0.25,0.92,-24.1,-1.52,-38.88,-2.45
240.54,27.77,25.77,19.23,1.37,86.73,0.34,0.99,-26.49,-1.67,-43.9,-2.77
172.41,22.19,21.51,19.7,1.12,59.44,0.24,1.11,-28.35,-1.79,-45.53,-2.87
194.79,24.14,23.19,20.42,1.17,69.88,0.28,1.07,-29.23,-1.84,-46.93,-2.96
212.04,25.56,24.21,20.0,1.24,76.52,0.3,1.04,-28.62,-1.8,-45.44,-2.86
79.13,12.37,12.77,16.72,0.8,16.07,0.06,1.08,-26.14,-1.65,-39.55,-2.49
68.02,10.94,11.58,17.06,0.71,9.99,0.04,1.08,-26.98,-1.7,-40.2,-2.53
185.18,23.32,22.28,19.07,1.2,65.77,0.26,1.06,-27.45,-1.73,-44.28,-2.79
152.36,20.34,19.91,19.14,1.07,52.96,0.21,1.07,-27.1,-1.71,-44.46,-2.8
193.44,24.02,22.94,19.59,1.2,67.08,0.27,1.1,-28.81,-1.81,-45.02,-2.84
227.86,26.81,25.15,19.87,1.3,80.15,0.32,1.06,-29.39,-1.85,-44.78,-2.82
110.5,16.05,16.09,17.71,0.94,32.71,0.13,1.09,-27.56,-1.74,-40.68,-2.56
207.61,25.2,23.96,20.11,1.22,74.08,0.29,1.06,-28.72,-1.81,-46.22,-2.91
102.5,15.16,15.47,18.47,0.87,28.41,0.11,1.11,-28.84,-1.82,-42.46,-2.68
160.05,21.06,20.66,20.0,1.06,53.64,0.21,1.14,-29.61,-1.86,-46.9,-2.95
199.21,24.51,23.26,19.27,1.24,69.93,0.28,1.07,-27.63,-1.74,-44.76,-2.82
177.34,22.63,21.69,18.84,1.18,61.73,0.24,1.08,-27.85,-1.75,-43.5,-2.74
96.81,14.5,14.65,16.99,0.9,24.23,0.1,1.11,-27.95,-1.76,-39.48,-2.49
94.85,14.27,14.58,17.71,0.86,22.44,0.09,1.14,-28.56,-1.8,-42.24,-2.66
112.95,16.32,16.39,18.12,0.94,30.2,0.12,1.17,-28.47,-1.79,-43.44,-2.74
267.0,29.7,27.56,20.88,1.35,89.12,0.35,1.13,-30.86,-1.94,-47.64,-3.0
187.52,23.52,22.26,18.19,1.26,60.51,0.24,1.17,-29.71,-1.87,-42.18,-2.66
198.33,24.43,23.2,19.27,1.23,68.73,0.27,1.09,-27.41,-1.73,-44.5,-2.8
144.96,19.62,19.16,18.3,1.08,46.37,0.18,1.13,-29.72,-1.87,-42.95,-2.71
97.44,14.57,14.59,16.24,0.94,27.32,0.11,1.04,-25.33,-1.6,-38.4,-2.42
114.01,16.44,16.38,17.54,0.97,36.31,0.14,1.04,-26.69,-1.68,-40.0,-2.52
252.8,28.68,26.71,20.46,1.33,87.74,0.35,1.07,-30.22,-1.9,-46.63,-2.94
251.02,28.55,26.54,20.14,1.35,85.47,0.34,1.1,-29.72,-1.87,-47.11,-2.97
81.9,12.71,12.86,15.42,0.87,19.92,0.08,1.01,-25.41,-1.6,-35.99,-2.27
128.12,17.93,17.44,16.44,1.1,45.15,0.18,0.97,-26.47,-1.67,-37.83,-2.38
124.63,17.57,16.91,14.96,1.17,43.67,0.17,0.94,-23.21,-1.46,-34.86,-2.2
133.83,18.52,17.96,16.66,1.11,45.28,0.18,1.02,-27.08,-1.71,-38.6,-2.43
150.06,20.12,19.33,16.96,1.18,58.03,0.23,0.9,-23.04,-1.45,-38.75,-2.44
182.4,23.08,22.13,19.31,1.18,63.09,0.25,1.1,-28.93,-1.82,-44.38,-2.8
116.98,16.76,16.68,17.67,0.98,33.73,0.13,1.13,-28.5,-1.8,-41.34,-2.6
66.96,10.8,11.4,16.7,0.72,9.3,0.04,1.07,-28.06,-1.77,-39.79,-2.51
154.82,20.57,19.91,18.21,1.13,49.67,0.2,1.14,-29.02,-1.83,-42.1,-2.65
117.87,16.85,16.72,17.46,0.99,37.52,0.15,1.05,-27.47,-1.73,-40.11,-2.53
70.54,11.27,11.79,16.6,0.75,11.83,0.05,1.06,-25.63,-1.61,-39.36,-2.48
148.02,19.92,19.61,19.34,1.04,50.63,0.2,1.09,-27.92,-1.76,-44.52,-2.8
83.45,12.9,13.23,16.65,0.83,19.21,0.08,1.06,-26.32,-1.66,-38.54,-2.43
