rank,selected_for,Yield,ROC,EarningsYield,RS(6m),ROA,ΔROA,AccrualRatio,ΔLTDebt-to-Assets,ΔCurrentRatio,ΔOpMgn,ΔAssetTurnover,sharpe,annualized,var
1,Top Sharpe,-1,-1,0,0,1,-1,0,0,1,-1,-1,1.46,29.69,-27.63
2,Top Sharpe,-1,0,-1,-1,1,-1,-1,0,-1,1,-1,1.34,26.9,-27.76
3,Top Return,-1,0,-1,-1,0,1,-1,0,0,-1,-1,1.23,26.48,-30.08
4,Top Return,-1,-1,-1,1,-1,-1,-1,0,0,0,-1,1.25,26.0,-30.06
5,Top VaR,1,-1,0,0,1,0,0,1,0,1,-1,0.9,11.02,-19.68
6,Top VaR,1,0,0,0,1,-1,1,0,0,1,-1,0.92,11.41,-20.08
