w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var
-1,-1,-1,0,0,-1,1,1,1,0,0,1.08,17.52,-28.05
-1,0,-1,0,0,0,0,1,-1,-1,0,0.89,15.02,-28.3
0,-1,0,0,-1,-1,1,0,-1,0,1,1.05,18.42,-26.25
-1,0,0,-1,0,-1,0,1,1,1,1,1.04,16.18,-25.96
-1,-1,0,0,0,1,-1,0,1,-1,0,1.1,19.85,-29.14
-1,0,0,0,-1,0,0,0,1,0,1,0.76,11.99,-28.61
-1,0,0,1,0,0,0,0,0,-1,-1,1.0,17.65,-25.68
0,0,-1,0,0,0,1,0,-1,0,0,1.15,19.92,-24.96
-1,0,1,0,0,0,0,1,1,-1,0,0.96,14.78,-26.36
-1,-1,-1,0,0,-1,0,1,-1,-1,-1,0.98,16.68,-27.38
1,0,0,-1,-1,1,-1,0,0,-1,-1,0.66,9.98,-26.36
0,0,0,-1,-1,0,0,0,0,1,-1,1.09,20.85,-27.55
-1,0,0,0,-1,0,1,0,0,0,1,1.01,18.78,-29.12
-1,0,-1,-1,-1,1,-1,0,0,0,-1,1.27,27.62,-29.88
0,0,1,0,0,-1,1,0,0,0,0,0.8,10.91,-24.48
-1,0,-1,0,-1,-1,1,0,0,1,0,0.96,18.01,-29.53
0,0,0,0,0,0,1,0,-1,-1,-1,1.13,19.95,-25.6
0,-1,0,0,1,-1,0,1,0,0,-1,1.09,16.45,-24.41
-1,0,-1,-1,0,1,-1,0,0,0,-1,1.0,17.65,-28.06
-1,0,0,-1,-1,0,-1,0,0,0,1,0.83,14.02,-28.4
-1,0,-1,0,-1,-1,1,1,1,0,0,1.03,17.25,-27.94
-1,0,1,1,0,-1,-1,0,0,0,0,0.75,10.67,-24.83
-1,0,0,0,0,1,0,0,1,-1,0,1.03,16.55,-26.92
-1,-1,0,0,-1,1,1,0,0,0,-1,1.17,22.73,-29.28
0,0,-1,1,1,-1,0,1,0,-1,1,0.6,7.65,-24.32
-1,-1,0,0,0,1,0,0,0,-1,-1,1.33,28.11,-29.76
-1,0,-1,0,-1,0,-1,0,0,0,1,0.84,14.08,-30.01
0,-1,0,0,0,0,0,0,1,-1,-1,1.25,24.77,-28.14
0,-1,0,0,-1,-1,1,0,1,0,0,1.07,19.5,-27.67
-1,-1,0,0,0,-1,1,0,1,0,1,1.2,21.47,-26.56
-1,0,1,0,-1,0,1,0,0,0,1,0.82,12.3,-26.1
-1,0,0,0,-1,1,-1,0,0,0,-1,0.98,17.97,-30.22
-1,-1,-1,0,-1,-1,0,0,1,-1,0,1.15,23.44,-29.77
-1,0,0,1,0,0,1,1,1,-1,0,0.97,14.72,-24.72
0,0,0,0,-1,0,-1,0,0,0,-1,0.82,13.86,-28.5
-1,0,0,-1,-1,0,0,0,0,1,-1,1.16,24.31,-30.06
-1,0,0,-1,-1,1,-1,0,0,0,-1,0.92,16.57,-29.97
-1,-1,1,0,0,-1,0,1,0,0,-1,1.08,17.73,-26.58
0,0,0,0,0,0,1,0,0,-1,-1,1.06,17.98,-24.87
0,0,0,-1,-1,0,0,0,-1,0,0,1.02,19.06,-27.23
-1,-1,-1,-1,-1,1,-1,0,0,0,-1,1.28,28.0,-31.79
-1,0,0,0,0,1,1,0,0,1,0,0.76,11.0,-26.19
-1,0,-1,0,-1,0,0,0,0,0,-1,1.15,24.65,-31.44
-1,0,-1,0,-1,0,0,0,0,0,0,1.04,21.2,-30.98
-1,-1,-1,-1,-1,1,0,0,0,-1,-1,1.22,26.8,-31.1
0,-1,0,0,-1,-1,0,1,1,0,-1,0.98,15.95,-26.03
-1,0,0,1,-1,0,1,0,0,-1,1,1.13,20.82,-27.34
-1,0,-1,-1,1,-1,0,1,1,1,1,1.22,19.22,-25.69
-1,0,0,0,-1,0,0,0,0,0,-1,1.19,25.23,-30.71
0,-1,0,0,0,1,0,0,1,-1,-1,1.1,16.15,-24.78
-1,0,0,0,0,0,1,0,0,0,1,0.88,13.43,-25.56
-1,0,-1,0,-1,1,1,0,0,0,-1,1.08,20.74,-28.68
-1,0,-1,-1,-1,1,-1,-1,0,0,-1,0.83,14.67,-29.58
-1,0,-1,0,-1,0,1,0,0,1,-1,1.0,18.7,-28.49
-1,-1,0,0,0,1,-1,0,0,1,-1,0.98,15.97,-28.06
-1,-1,1,-1,0,-1,1,0,0,0,0,1.09,19.6,-25.57
0,-1,0,0,0,0,0,0,1,0,-1,1.08,16.75,-25.47
0,-1,-1,-1,-1,1,-1,0,0,0,-1,1.25,26.28,-29.29
-1,-1,-1,0,-1,1,-1,0,0,0,-1,1.06,19.64,-28.94
-1,-1,0,0,0,0,0,0,1,-1,0,1.39,27.82,-27.91
0,-1,0,0,-1,-1,1,0,0,0,0,1.02,18.28,-26.81
-1,-1,-1,-1,-1,0,0,0,0,0,0,1.22,25.69,-30.51
-1,-1,0,0,0,1,0,0,0,0,-1,1.27,23.99,-26.81
-1,-1,0,0,-1,1,0,0,0,1,-1,0.9,14.98,-28.0
-1,0,0,-1,-1,0,0,0,0,0,-1,1.14,24.11,-30.54
-1,0,-1,-1,-1,0,0,-1,1,1,0,0.9,15.17,-28.67
-1,0,0,0,0,1,-1,0,0,0,-1,0.97,16.06,-27.86
-1,-1,-1,-1,-1,-1,0,1,0,0,-1,0.83,14.25,-28.55
-1,-1,-1,0,-1,1,0,0,1,-1,-1,1.29,28.31,-30.35
0,-1,0,0,-1,1,-1,0,0,0,-1,1.02,17.61,-28.66
-1,0,-1,-1,1,-1,1,1,1,1,1,1.19,17.89,-24.78
-1,0,-1,-1,0,1,-1,1,1,0,-1,1.2,21.42,-28.44
-1,0,0,-1,1,1,-1,0,1,1,1,0.81,12.03,-25.9
-1,-1,0,0,0,-1,0,0,0,-1,0,1.21,24.46,-29.06
-1,-1,-1,-1,0,1,0,0,0,0,-1,1.39,30.5,-29.51
-1,0,0,0,-1,0,0,0,0,0,0,1.05,21.34,-30.57
0,0,-1,0,0,0,0,0,-1,0,0,1.09,20.46,-27.89
-1,-1,0,0,0,0,0,0,0,-1,-1,1.36,29.14,-29.35
-1,-1,0,0,-1,1,1,0,1,0,0,0.92,14.98,-29.78
-1,0,0,0,0,1,0,0,0,0,-1,0.84,12.41,-25.48
-1,-1,0,0,0,0,0,0,1,0,0,1.15,19.23,-27.65
-1,0,-1,0,-1,-1,0,0,0,0,-1,1.18,24.35,-28.78
-1,-1,-1,0,-1,1,0,0,0,-1,-1,1.19,25.4,-30.32
-1,-1,0,-1,-1,1,0,0,0,-1,-1,1.23,26.94,-30.49
-1,-1,-1,0,0,0,0,0,0,-1,-1,1.3,27.83,-29.39
-1,0,-1,-1,1,-1,0,1,1,0,0,1.09,17.24,-26.64
-1,-1,-1,0,-1,0,1,0,0,0,0,1.15,23.55,-31.15
-1,0,-1,-1,1,-1,1,0,1,1,1,1.05,15.66,-24.42
-1,-1,-1,0,-1,1,0,0,1,0,-1,1.43,31.1,-29.4
-1,0,1,0,-1,0,0,0,0,0,0,0.8,12.81,-27.84
-1,-1,0,0,-1,0,0,0,0,-1,-1,1.28,27.02,-29.63
-1,-1,-1,0,-1,0,0,0,1,0,0,1.3,28.12,-31.38
0,-1,-1,-1,-1,1,-1,0,1,0,-1,1.02,18.31,-29.09
-1,0,-1,0,-1,1,-1,0,1,0,-1,1.09,20.4,-29.45
-1,-1,0,-1,0,1,0,0,0,0,-1,1.33,28.11,-27.54
-1,0,-1,0,-1,0,1,0,0,1,1,0.73,11.64,-30.1
-1,-1,-1,0,-1,-1,-1,0,1,-1,0,1.1,22.18,-29.55
