w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var
0,0,-1,0,0,0,1,0,0,0,0,1.09,19.61,-26.22
0,0,-1,0,0,-1,-1,0,0,0,1,0.43,5.08,-24.42
0,0,0,0,0,-1,0,0,-1,0,0,0.98,16.39,-25.18
0,0,0,0,1,1,0,0,-1,0,0,0.82,10.94,-21.18
1,0,0,1,0,0,-1,1,0,0,0,0.57,7.13,-24.61
0,0,0,1,0,0,0,0,0,1,-1,0.75,10.75,-24.96
1,-1,-1,0,-1,1,0,0,-1,0,0,0.83,11.67,-24.41
-1,-1,0,0,0,0,0,1,1,0,-1,1.22,21.2,-28.18
0,0,0,1,0,1,0,0,-1,0,-1,0.91,13.26,-23.08
0,0,0,-1,-1,0,0,1,0,1,0,1.03,17.14,-26.52
0,0,-1,1,0,0,0,0,-1,1,1,0.85,12.94,-26.08
-1,0,0,1,1,0,0,1,0,0,-1,0.99,14.47,-23.56
0,1,1,-1,0,-1,0,0,-1,0,1,0.66,8.35,-23.74
0,0,1,0,-1,0,1,-1,1,0,0,0.62,8.14,-25.2
0,-1,0,1,0,0,0,1,0,-1,0,0.77,10.69,-25.11
1,0,1,1,0,1,-1,1,1,1,-1,1.0,14.48,-22.7
-1,-1,0,0,0,-1,-1,1,0,1,-1,1.23,22.08,-28.3
0,1,0,-1,0,0,0,-1,0,-1,0,0.53,6.47,-22.58
0,-1,0,-1,0,1,1,0,-1,0,0,1.26,23.08,-25.04
-1,1,0,0,1,0,0,-1,0,1,-1,0.85,11.82,-24.61
0,1,-1,1,1,-1,0,0,0,-1,-1,0.73,9.21,-22.8
-1,-1,1,1,-1,0,1,0,0,-1,0,1.18,22.24,-26.88
1,0,-1,0,1,0,1,1,-1,0,0,0.87,10.65,-20.88
0,-1,1,0,1,-1,0,0,-1,1,-1,0.65,7.97,-20.94
0,-1,-1,-1,0,0,0,0,-1,0,0,1.12,21.58,-27.82
-1,0,0,0,-1,1,-1,-1,1,-1,0,0.85,14.62,-30.05
1,1,0,1,0,1,0,1,-1,1,1,0.81,10.91,-23.39
1,-1,0,-1,0,-1,-1,-1,1,0,0,0.58,7.86,-24.59
0,-1,0,0,0,0,0,1,0,1,0,1.09,15.71,-23.34
0,-1,0,1,-1,-1,0,0,1,-1,1,0.67,9.02,-24.85
0,1,0,1,0,0,0,1,0,-1,1,0.73,9.71,-23.76
1,0,0,0,-1,0,0,1,1,0,1,0.63,7.86,-22.93
0,-1,-1,0,-1,-1,0,0,0,-1,0,0.99,18.7,-29.05
-1,0,0,0,0,0,0,1,0,-1,0,1.1,17.71,-26.58
1,-1,1,0,1,-1,0,1,0,1,0,0.99,12.82,-20.62
-1,0,1,0,-1,-1,0,1,0,0,0,1.01,16.66,-27.6
-1,0,-1,1,0,0,1,0,1,-1,0,1.05,18.8,-25.7
0,0,-1,-1,0,1,0,0,0,-1,-1,1.11,22.76,-27.93
0,1,0,0,1,1,0,1,1,0,0,0.86,11.51,-22.38
0,0,-1,0,0,0,-1,1,-1,0,0,0.84,12.76,-26.4
0,0,1,0,-1,1,1,0,0,-1,-1,1.03,17.95,-25.52
1,0,0,1,-1,-1,-1,0,1,0,0,0.67,8.78,-23.82
0,1,0,-1,1,-1,-1,0,-1,0,0,0.83,11.18,-23.87
0,1,-1,0,-1,1,-1,-1,0,0,0,0.62,8.86,-27.35
-1,0,0,0,1,-1,0,1,1,-1,-1,1.1,17.13,-24.91
1,1,1,0,0,-1,0,1,-1,1,0,0.71,8.98,-22.4
0,0,1,0,1,1,1,0,0,0,0,0.73,9.84,-22.39
1,0,0,0,0,1,-1,-1,0,-1,0,0.49,5.31,-21.52
1,0,-1,1,0,-1,0,0,-1,0,0,0.61,7.65,-23.2
0,-1,0,0,0,0,1,0,-1,0,1,1.26,21.89,-23.79
0,0,0,1,0,1,0,0,0,-1,-1,0.89,12.89,-24.02
0,0,0,0,0,1,0,-1,0,1,-1,0.84,11.48,-24.12
0,-1,-1,0,-1,1,0,0,0,-1,0,1.13,22.47,-30.24
-1,-1,1,1,-1,0,1,0,0,0,0,1.04,19.78,-28.18
0,0,-1,-1,0,0,0,0,-1,0,0,1.07,20.02,-27.35
0,0,0,0,0,-1,0,0,0,0,0,1.02,18.3,-26.22
0,-1,0,0,0,0,1,0,-1,0,0,1.21,20.82,-23.63
-1,-1,0,0,0,1,1,0,-1,-1,0,1.21,22.37,-27.08
0,0,-1,0,1,-1,-1,0,0,0,-1,0.94,14.84,-25.59
0,0,-1,0,-1,1,-1,-1,1,1,-1,0.82,12.58,-26.82
0,-1,0,0,0,-1,0,1,0,1,-1,1.1,17.05,-24.76
0,1,-1,0,-1,1,-1,-1,0,1,0,0.65,9.26,-26.73
0,0,0,0,-1,0,1,-1,1,0,0,0.62,8.2,-24.33
1,-1,-1,0,-1,1,0,0,0,0,0,0.59,7.75,-24.55
-1,0,0,0,0,0,0,1,0,0,1,0.86,12.85,-24.93
0,0,1,-1,0,1,1,0,-1,0,0,0.85,11.45,-22.31
0,-1,-1,0,-1,-1,0,0,-1,-1,0,1.05,19.45,-27.66
0,1,-1,1,0,0,0,0,0,-1,0,0.69,9.46,-25.35
0,1,-1,1,0,-1,-1,0,1,-1,0,0.6,7.95,-25.66
0,0,1,0,-1,0,1,0,0,1,-1,0.75,10.14,-23.42
-1,1,-1,-1,1,0,0,0,0,-1,-1,1.27,24.78,-25.75
-1,0,0,0,-1,-1,-1,-1,1,-1,0,0.54,8.0,-28.23
-1,-1,0,0,0,0,0,1,1,-1,-1,1.2,20.11,-27.05
0,-1,-1,0,0,0,-1,1,-1,0,0,1.03,17.38,-26.66
0,1,0,1,0,0,0,1,-1,-1,1,0.57,7.22,-24.09
0,0,0,-1,-1,0,0,1,0,1,1,0.91,13.82,-25.66
0,0,0,-1,0,0,0,1,0,0,0,0.84,13.42,-25.62
-1,0,0,0,0,-1,0,1,1,-1,1,0.86,12.37,-25.73
1,1,1,0,0,1,-1,1,0,0,0,0.66,8.26,-22.22
-1,-1,1,0,0,-1,-1,1,0,1,0,0.99,16.31,-27.25
-1,-1,1,0,0,0,0,1,1,0,-1,1.08,16.88,-26.38
-1,-1,1,1,-1,0,1,0,-1,-1,0,1.05,18.94,-25.36
0,0,1,0,-1,-1,0,1,0,-1,0,0.9,14.07,-25.56
0,-1,-1,-1,0,0,-1,0,-1,-1,0,0.97,18.56,-27.4
0,-1,0,0,1,1,1,0,0,0,0,0.91,12.09,-21.92
0,0,-1,1,1,-1,0,0,-1,1,1,0.83,11.94,-25.49
-1,0,0,-1,1,0,1,0,-1,0,0,1.21,21.1,-23.86
-1,-1,0,0,1,-1,0,1,1,0,-1,1.18,18.5,-25.23
1,-1,1,0,-1,1,0,0,0,0,-1,0.84,11.44,-22.43
1,-1,1,0,0,0,0,1,0,1,0,0.87,11.6,-20.97
0,0,-1,0,-1,1,1,0,-1,-1,0,0.98,17.18,-26.17
0,-1,0,1,1,0,0,1,0,1,-1,1.15,16.69,-23.05
-1,-1,1,0,0,1,0,1,1,0,-1,1.19,18.59,-24.87
0,1,-1,0,-1,1,-1,1,0,1,0,0.84,12.59,-24.75
0,-1,-1,0,-1,-1,-1,1,0,-1,-1,0.85,13.77,-25.98
0,-1,0,0,0,-1,0,0,-1,1,0,1.1,18.97,-25.03
-1,0,1,0,-1,0,1,-1,-1,-1,0,0.63,8.17,-24.41
-1,1,0,0,-1,1,-1,0,0,0,1,0.76,11.78,-27.05
0,-1,0,0,0,0,0,1,1,1,0,1.23,18.8,-24.79
0,0,1,0,-1,-1,0,0,0,0,0,0.95,16.58,-26.05
0,0,-1,0,-1,0,0,0,-1,-1,0,1.01,18.25,-26.94
-1,0,0,0,0,1,0,0,0,0,0,0.82,13.07,-26.75
-1,-1,-1,-1,1,0,0,0,0,-1,-1,1.39,30.02,-29.47
0,-1,0,0,0,1,0,1,0,1,-1,1.14,17.06,-23.42
-1,0,0,0,0,0,0,1,0,0,-1,1.08,17.88,-27.69
-1,0,1,0,-1,-1,0,1,0,-1,0,0.88,14.16,-26.11
0,1,-1,0,0,1,-1,0,0,-1,-1,0.95,14.21,-23.89
-1,0,0,0,0,0,1,0,-1,0,0,1.11,19.41,-25.82
-1,-1,0,0,0,1,1,0,-1,0,0,1.17,22.0,-27.74
-1,0,-1,0,-1,-1,-1,-1,1,-1,0,0.64,9.92,-28.11
-1,0,0,0,0,0,0,-1,0,-1,0,0.6,7.86,-24.84
-1,-1,0,0,0,-1,0,0,0,1,0,1.22,24.86,-28.89
0,-1,0,-1,0,1,1,1,0,0,-1,1.0,14.23,-24.09
0,-1,-1,1,-1,1,-1,0,1,1,-1,0.86,13.6,-27.6
0,-1,-1,0,0,0,1,-1,-1,0,0,0.75,10.03,-23.66
-1,0,0,0,-1,-1,-1,-1,0,-1,0,0.68,10.5,-27.36
-1,-1,-1,0,-1,1,0,1,0,-1,0,1.11,20.35,-29.89
-1,-1,0,0,1,0,0,1,1,0,-1,1.15,16.99,-24.75
0,-1,-1,0,0,-1,1,0,0,0,0,1.11,20.59,-27.35
0,-1,1,-1,-1,-1,1,1,-1,0,0,0.79,11.65,-26.78
0,1,-1,0,-1,-1,0,0,0,-1,0,0.99,18.54,-28.49
0,-1,-1,0,-1,-1,0,0,0,-1,1,0.94,16.8,-27.48
-1,-1,0,1,1,0,0,1,1,0,-1,1.0,14.38,-22.94
0,0,0,0,1,-1,0,1,1,-1,-1,1.01,15.26,-25.62
0,0,-1,-1,-1,1,0,-1,0,0,1,0.76,11.32,-26.2
-1,0,0,0,1,-1,1,1,1,-1,-1,0.9,12.49,-23.71
-1,-1,-1,0,-1,0,0,1,0,-1,0,0.95,16.69,-29.72
0,-1,0,0,0,0,0,0,-1,0,1,0.66,8.59,-22.71
0,-1,0,-1,0,1,1,0,-1,1,0,1.0,14.65,-23.73
-1,-1,0,0,0,-1,0,0,-1,1,0,1.27,25.16,-27.79
0,0,-1,0,-1,1,0,-1,0,-1,0,0.53,6.99,-25.82
-1,-1,0,0,-1,-1,1,0,-1,-1,0,1.03,19.3,-27.27
-1,0,-1,0,-1,-1,0,0,0,-1,0,1.08,22.07,-29.42
-1,-1,-1,0,0,-1,0,0,0,0,0,1.2,24.52,-29.6
-1,0,0,0,-1,0,-1,-1,0,-1,0,0.63,9.22,-27.08
-1,-1,0,0,0,0,1,0,-1,0,1,1.09,20.02,-27.62
0,-1,0,0,0,-1,0,0,-1,0,0,1.14,20.4,-26.7
-1,-1,0,-1,1,0,0,0,1,0,0,1.03,16.18,-25.48
0,0,-1,1,1,0,0,0,0,1,-1,0.88,12.34,-24.24
-1,-1,1,0,0,1,0,0,1,0,-1,0.79,11.46,-25.09
-1,0,-1,0,-1,-1,1,-1,1,-1,0,0.83,13.44,-27.38
-1,-1,-1,0,-1,-1,-1,0,1,1,0,1.04,19.17,-30.23
0,-1,0,0,0,0,0,1,1,-1,-1,1.0,15.48,-25.59
-1,-1,1,1,1,0,1,0,0,0,0,0.73,10.29,-25.2
-1,-1,-1,-1,1,1,0,0,0,-1,-1,1.3,26.9,-27.77
-1,-1,0,0,1,-1,1,1,1,0,-1,0.95,13.05,-22.84
0,-1,0,0,0,-1,-1,0,-1,0,0,0.62,8.25,-24.57
-1,0,0,0,0,0,1,0,0,0,0,1.17,21.36,-26.2
0,-1,-1,0,0,-1,0,0,-1,-1,0,1.0,17.94,-27.05
-1,0,-1,0,-1,-1,-1,0,1,-1,0,0.7,11.22,-27.03
0,1,-1,0,0,1,0,0,0,-1,0,0.44,4.94,-22.6
0,0,-1,-1,1,0,0,0,0,-1,-1,1.23,25.1,-26.51
0,-1,0,0,0,-1,1,1,0,1,-1,0.94,12.48,-21.24
0,-1,0,0,0,-1,1,0,-1,0,0,1.08,17.89,-22.94
0,0,-1,0,-1,1,0,0,0,-1,0,1.02,19.73,-30.43
0,-1,0,0,0,1,1,0,-1,0,0,1.31,23.61,-24.01
0,-1,-1,-1,0,0,-1,0,-1,1,0,0.88,13.96,-24.65
-1,0,0,0,1,0,1,1,0,0,-1,1.04,13.99,-22.32
-1,1,0,-1,1,0,0,1,0,-1,-1,0.94,13.73,-25.58
-1,0,0,0,0,-1,0,1,0,1,0,1.18,18.77,-25.4
0,-1,-1,0,0,-1,-1,0,0,0,0,0.86,13.39,-25.73
0,0,0,1,-1,1,-1,-1,1,-1,-1,0.74,10.83,-25.24
-1,0,-1,-1,0,1,0,0,0,-1,-1,1.24,26.18,-29.88
-1,-1,-1,-1,-1,0,0,0,0,0,-1,1.23,27.45,-32.19
-1,0,1,1,-1,0,1,0,0,-1,0,1.06,19.3,-26.6
-1,-1,0,0,-1,1,-1,-1,1,-1,0,0.96,16.59,-28.95
0,0,-1,0,-1,-1,-1,0,0,1,0,0.77,12.44,-27.85
0,0,-1,-1,0,1,0,0,0,0,-1,1.26,26.11,-28.5
0,-1,-1,0,-1,-1,0,0,0,1,0,1.2,23.98,-29.54
0,-1,1,1,-1,0,-1,0,1,-1,-1,0.86,13.33,-26.07
-1,1,-1,-1,1,-1,0,0,0,-1,0,1.13,21.64,-27.84
-1,-1,-1,0,1,-1,0,0,0,-1,-1,1.33,27.12,-27.02
-1,-1,0,0,-1,0,-1,-1,1,-1,0,0.78,12.84,-28.62
-1,-1,-1,0,0,-1,0,0,0,-1,0,1.2,24.68,-28.46
-1,-1,0,0,0,-1,1,0,0,0,0,1.05,19.03,-27.08
0,-1,0,-1,0,0,0,1,1,-1,-1,1.01,17.13,-27.49
-1,-1,0,0,0,-1,1,0,-1,-1,0,1.12,20.57,-26.26
0,0,-1,0,1,0,0,0,0,-1,1,0.33,3.29,-24.47
-1,0,0,0,-1,-1,-1,-1,-1,0,0,0.66,9.78,-26.78
0,1,-1,0,0,-1,0,0,0,1,0,0.67,8.76,-22.79
-1,-1,0,0,0,1,0,0,-1,0,0,1.2,23.16,-27.41
0,0,-1,0,0,1,0,0,0,-1,0,0.97,18.4,-29.63
0,0,-1,-1,1,0,0,0,1,-1,-1,0.94,15.13,-25.84
1,-1,0,0,0,1,1,0,-1,0,0,0.76,9.91,-22.46
-1,-1,0,0,0,1,0,0,0,-1,0,1.35,27.63,-29.17
-1,-1,-1,1,-1,1,1,0,0,1,0,0.69,10.81,-28.22
0,1,-1,0,-1,0,0,0,0,-1,-1,1.04,20.53,-28.56
0,0,-1,-1,-1,1,0,0,0,-1,0,1.13,23.13,-28.42
-1,0,0,0,-1,-1,0,0,0,1,0,1.02,20.71,-31.26
0,-1,-1,0,0,0,0,0,-1,0,1,0.95,16.64,-26.51
-1,0,0,0,0,1,0,1,0,1,0,0.73,10.79,-26.52
0,-1,0,-1,0,1,1,0,-1,0,-1,1.23,22.17,-23.85
0,-1,0,0,0,-1,0,0,1,-1,0,0.96,14.79,-25.76
-1,-1,0,0,-1,-1,0,0,-1,-1,0,1.05,20.33,-27.81
-1,-1,-1,0,-1,0,1,1,0,-1,0,0.9,15.32,-27.89
-1,-1,-1,-1,-1,1,0,0,0,-1,-1,1.22,26.8,-31.1
-1,-1,0,0,-1,-1,-1,0,1,1,0,1.08,19.92,-29.67
0,-1,0,0,0,0,-1,0,-1,0,1,0.54,7.0,-24.77
0,-1,-1,0,0,0,0,1,1,1,0,1.16,18.95,-27.29
-1,-1,-1,0,1,-1,0,0,0,1,-1,1.41,28.04,-27.39
0,-1,-1,0,0,1,1,0,-1,0,0,1.14,20.47,-27.06
-1,-1,0,-1,0,0,0,0,0,0,0,1.27,27.08,-29.35
0,-1,0,0,0,1,1,0,-1,1,0,1.0,14.69,-24.41
-1,-1,-1,0,-1,1,0,0,0,-1,0,1.28,27.68,-31.42
-1,-1,0,0,-1,-1,0,0,0,1,0,1.18,24.17,-30.41
-1,0,0,0,0,1,-1,-1,1,-1,0,0.97,16.13,-27.7
-1,-1,-1,-1,-1,1,0,0,0,0,-1,1.27,27.22,-30.45
-1,-1,-1,0,-1,0,0,1,0,0,1,0.95,16.14,-29.98
0,-1,0,0,0,0,1,0,-1,-1,0,0.91,14.88,-26.03
0,1,-1,0,-1,1,0,0,0,-1,-1,1.13,21.58,-27.28
-1,-1,0,0,0,-1,-1,0,-1,0,0,1.19,23.21,-28.3
-1,-1,-1,0,1,-1,0,0,0,-1,0,1.25,24.37,-27.51
0,-1,-1,-1,0,0,0,0,0,-1,0,1.02,19.77,-27.66
-1,0,0,-1,-1,1,-1,-1,1,0,0,0.87,14.82,-29.64
-1,-1,-1,1,-1,0,1,0,0,-1,0,1.12,21.55,-28.24
0,0,0,-1,0,1,0,0,0,1,-1,0.88,12.27,-23.58
-1,-1,1,1,-1,-1,0,0,0,1,0,0.74,11.58,-27.49
-1,-1,0,0,0,1,0,0,-1,0,-1,1.37,26.86,-26.69
-1,-1,-1,0,-1,-1,-1,0,1,-1,0,1.1,22.18,-29.55
-1,-1,-1,-1,1,0,0,0,0,0,-1,1.31,27.14,-28.08
-1,0,0,0,-1,1,0,0,0,-1,0,1.12,23.22,-30.87
0,0,-1,0,1,1,1,0,-1,-1,-1,1.29,21.99,-23.67
0,-1,0,-1,0,0,0,1,1,0,0,1.14,18.65,-25.88
0,-1,-1,-1,0,1,0,0,-1,0,0,1.24,24.51,-27.47
0,1,-1,0,-1,0,0,1,0,-1,-1,0.83,13.3,-26.86
-1,0,0,0,0,-1,0,0,-1,1,0,1.15,21.07,-26.5
0,-1,-1,0,0,1,0,0,0,-1,-1,1.33,28.04,-28.79
0,0,0,0,-1,1,1,0,-1,0,0,1.15,20.55,-25.94
0,0,-1,0,0,0,0,0,0,-1,0,1.01,19.8,-28.66
-1,0,0,-1,1,0,1,0,-1,-1,0,1.2,20.66,-24.26
0,0,-1,0,-1,1,0,0,0,0,0,0.8,12.6,-27.79
-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1.1,22.53,-29.14
0,-1,-1,-1,-1,1,1,0,1,1,0,1.0,15.94,-26.11
-1,0,-1,0,-1,-1,0,0,0,-1,-1,1.15,23.4,-28.3
-1,0,-1,0,1,1,0,0,0,-1,-1,1.34,24.67,-25.48
-1,-1,-1,0,-1,0,0,0,0,-1,-1,1.2,25.87,-30.53
0,0,1,-1,1,0,0,0,0,-1,-1,0.59,7.19,-23.77
-1,-1,-1,0,0,-1,0,0,-1,-1,0,1.07,20.67,-27.17
-1,0,0,0,-1,0,1,0,0,0,0,0.91,16.73,-29.23
-1,-1,-1,-1,1,1,0,0,0,-1,0,1.37,28.76,-28.09
-1,-1,0,0,0,0,0,1,-1,0,0,1.13,19.41,-27.52
-1,-1,-1,0,-1,0,0,0,0,0,-1,1.21,25.75,-30.68
-1,0,-1,-1,-1,-1,1,0,-1,0,0,1.02,19.59,-28.64
-1,-1,-1,-1,1,0,0,0,0,-1,0,1.24,25.7,-28.59
-1,-1,-1,-1,0,0,0,0,0,0,-1,1.2,25.87,-29.92
-1,0,-1,-1,1,-1,0,0,0,-1,-1,1.33,27.51,-27.11
-1,-1,-1,-1,-1,1,0,1,0,-1,0,0.95,17.53,-30.64
-1,0,-1,0,1,1,0,0,0,0,-1,0.91,12.77,-24.17
-1,-1,-1,0,0,-1,-1,1,0,1,-1,1.15,21.13,-29.59
-1,-1,-1,0,1,-1,0,-1,0,1,-1,0.94,14.21,-25.06
-1,-1,0,0,0,1,-1,0,-1,0,1,0.88,13.5,-25.92
-1,-1,-1,0,-1,1,0,0,0,-1,-1,1.19,25.4,-30.32
-1,-1,-1,0,1,0,0,0,0,1,0,0.98,15.66,-26.69
-1,-1,0,0,1,1,0,0,-1,-1,-1,1.36,25.81,-25.28
-1,-1,0,-1,0,1,0,0,0,-1,0,1.25,26.03,-28.68
0,-1,0,-1,0,1,0,0,0,-1,0,1.14,23.09,-27.01
