pop_size,n_gen,mean_sharpe,std_sharpe,max_sharpe,mean_ann,mean_evals,mean_complex,mean_gens,score
50,12,1.4666666666666668,0.035118845842842444,1.5,31.30333333333333,372.6666666666667,11.0,12.0,0.8991072437452454
30,12,1.4166666666666667,0.015275252316519402,1.43,30.863333333333333,235.33333333333334,11.0,12.0,0.8590290405084069
30,8,1.41,0.026457513110645887,1.43,29.30333333333333,181.0,11.0,8.0,0.846771243444677
50,8,1.3933333333333333,0.03055050463303884,1.42,27.793333333333333,291.0,11.0,8.0,0.8280580810168139
