w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var
1,1,-1,0,1,0,1,0,1,-1,1,0.79,9.97,-22.0
0,1,1,0,0,0,1,0,0,-1,1,0.82,11.18,-23.21
-1,0,0,-1,1,1,1,0,1,1,0,0.97,13.38,-23.28
0,0,1,0,-1,0,1,0,0,0,-1,0.96,16.48,-26.01
0,0,0,1,-1,0,-1,-1,-1,0,1,0.65,8.84,-25.07
-1,0,-1,0,-1,1,0,1,0,0,-1,1.1,20.45,-29.05
0,-1,1,0,0,1,-1,-1,0,1,0,0.77,10.78,-24.89
-1,0,-1,0,1,-1,-1,0,0,0,0,1.0,16.28,-27.54
-1,0,0,-1,-1,0,-1,-1,-1,-1,0,0.66,10.13,-25.98
-1,0,-1,0,1,0,0,1,0,-1,-1,1.19,19.52,-25.89
0,0,-1,-1,1,-1,-1,1,1,1,1,1.06,16.11,-25.27
-1,0,0,-1,0,0,1,0,1,-1,-1,1.2,22.72,-25.65
-1,-1,0,0,-1,0,-1,0,0,-1,0,1.16,24.07,-30.16
1,-1,-1,0,-1,0,-1,0,0,-1,-1,0.74,10.97,-26.01
0,1,0,-1,-1,-1,0,0,1,0,-1,0.94,15.21,-25.65
-1,0,-1,0,0,0,0,0,0,0,-1,1.21,25.14,-30.21
-1,0,-1,0,0,-1,-1,-1,0,0,-1,0.93,16.11,-28.21
0,-1,-1,0,-1,1,0,0,0,0,0,0.9,14.51,-27.72
-1,0,-1,0,-1,1,0,1,1,0,1,1.02,17.35,-28.88
0,0,1,0,0,0,-1,1,0,1,0,0.88,12.73,-22.9
0,0,-1,0,-1,1,1,0,-1,0,0,1.05,19.13,-27.64
-1,0,0,0,0,0,0,1,0,0,0,1.18,19.68,-26.98
0,0,1,0,-1,0,1,-1,-1,1,-1,0.73,9.85,-24.37
-1,0,0,-1,0,-1,0,0,0,1,0,1.32,27.86,-28.85
-1,-1,0,0,-1,-1,0,0,0,1,0,1.18,24.17,-30.41
-1,1,-1,0,-1,0,0,0,1,1,0,0.84,13.47,-27.64
-1,1,0,0,-1,0,1,0,0,-1,1,0.9,15.59,-26.89
0,0,-1,-1,0,1,0,0,0,0,1,0.87,12.99,-25.42
0,0,1,0,0,0,1,1,0,0,-1,0.9,12.39,-23.17
-1,-1,-1,0,-1,0,0,0,-1,-1,-1,1.24,25.06,-29.17
0,-1,-1,1,-1,1,1,0,0,0,0,0.67,9.92,-27.03
0,-1,-1,0,-1,1,0,0,-1,0,0,1.14,22.28,-29.02
0,1,0,0,1,0,-1,1,0,1,0,0.8,10.66,-23.6
0,-1,0,1,-1,1,1,1,1,-1,-1,0.96,14.7,-25.81
0,-1,0,1,0,0,0,1,0,0,-1,0.96,13.8,-23.58
-1,0,0,-1,-1,-1,0,1,-1,-1,0,0.86,14.27,-28.25
0,0,0,0,-1,-1,0,0,0,0,1,0.26,2.17,-23.63
0,1,1,0,-1,0,1,0,0,-1,-1,0.97,16.22,-24.95
0,1,-1,-1,-1,-1,0,0,0,-1,0,0.97,18.51,-27.86
-1,0,0,-1,0,0,1,0,0,0,0,1.17,21.4,-25.94
-1,-1,-1,0,-1,0,0,0,0,0,-1,1.21,25.75,-30.68
0,-1,-1,0,1,0,0,0,0,-1,-1,1.32,26.43,-26.74
-1,0,0,-1,-1,0,-1,1,0,1,0,1.08,19.44,-28.71
-1,0,0,0,0,1,-1,-1,1,0,-1,0.74,11.01,-26.84
-1,0,0,0,0,0,0,1,0,-1,0,1.1,17.71,-26.58
-1,-1,-1,0,-1,1,0,1,0,0,-1,1.11,20.93,-29.8
-1,0,-1,0,0,-1,0,0,0,0,-1,1.29,26.6,-29.11
-1,0,-1,-1,0,-1,0,0,0,1,0,1.35,28.63,-29.64
-1,0,0,0,-1,1,0,1,1,0,0,1.13,19.64,-28.72
-1,0,-1,0,-1,0,0,0,-1,-1,-1,1.13,22.56,-28.33
0,-1,0,0,-1,1,0,0,0,-1,-1,1.26,25.35,-27.71
0,1,-1,-1,0,-1,-1,1,1,1,1,1.01,15.0,-25.29
-1,-1,1,0,0,0,0,1,0,1,0,1.05,16.57,-25.58
-1,0,0,0,-1,0,0,0,0,-1,1,0.99,18.25,-27.65
-1,-1,-1,0,-1,1,0,1,0,0,1,1.1,18.85,-29.23
0,1,0,-1,-1,-1,-1,0,1,-1,0,0.73,11.32,-25.96
-1,0,0,0,0,0,-1,0,0,0,0,0.99,18.11,-29.21
-1,-1,0,0,-1,0,0,0,0,-1,0,1.24,25.83,-28.73
-1,0,0,0,-1,0,0,1,-1,-1,-1,0.92,15.64,-28.31
-1,0,-1,0,1,-1,1,0,0,-1,-1,1.21,21.58,-24.56
-1,-1,-1,-1,-1,0,0,0,0,-1,1,1.11,22.5,-29.8
-1,0,-1,-1,0,1,0,1,0,0,-1,1.07,18.67,-27.94
-1,0,0,-1,1,-1,-1,0,-1,-1,-1,1.13,21.82,-26.67
-1,0,0,0,-1,0,1,0,0,-1,0,1.07,20.02,-27.4
-1,0,0,-1,0,0,1,0,1,0,-1,1.14,20.05,-25.64
0,-1,-1,0,-1,0,0,0,-1,0,0,1.16,22.67,-28.9
0,-1,-1,0,-1,1,1,0,-1,0,0,1.11,20.46,-27.58
0,1,0,-1,-1,-1,0,0,0,-1,0,1.0,19.75,-28.21
0,-1,-1,0,-1,1,0,0,0,-1,1,0.64,8.92,-26.76
-1,-1,0,0,0,0,0,1,0,0,0,1.24,21.45,-29.52
0,-1,-1,1,-1,1,1,1,1,1,0,0.95,15.12,-27.34
